fipstate,fipscty,2401001000,2401005000,2401008000,2401015000,2401020000,2401025000,2401030000,2401040000,2401055000,2401060000,2401065000,2401070000,2401075000,2401080000,2401085000,2401090000,2401100000,2401200000,2415000000,2420000000,2425000000,2460030999,2460100000,2460200000,2460400000,2460500000,2460600000,2460800000,2460900000,2461850000
fipstate,fipscty,pop,cbp,pvmt,cbp,cbp,cbp,cbp,cbp,cbp,cbp,cbp,cbp,cbp,cbp,cbp,cbp,pop,pop,cbp,cbp,cbp,pop,pop,pop,pop,pop,pop,pop,pop,pest
1.000000000000000000e+00,1.000000000000000000e+00,4.680000000000000000e+04,1.950000000000000000e+02,7.005788256763328314e+08,0.000000000000000000e+00,3.500000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.510000000000000000e+02,4.680000000000000000e+04,4.680000000000000000e+04,1.503000000000000000e+03,6.000000000000000000e+01,1.000000000000000000e+01,4.680000000000000000e+04,4.680000000000000000e+04,4.680000000000000000e+04,4.680000000000000000e+04,4.680000000000000000e+04,4.680000000000000000e+04,4.680000000000000000e+04,4.680000000000000000e+04,6.389700000000000728e+04
1.000000000000000000e+00,3.000000000000000000e+00,1.520000000000000000e+05,8.830000000000000000e+02,3.266484444495690346e+09,1.840000000000000000e+02,1.818000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.620000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,3.750000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,3.910000000000000000e+02,1.520000000000000000e+05,1.520000000000000000e+05,6.454000000000000000e+03,6.000000000000000000e+01,4.240000000000000000e+02,1.520000000000000000e+05,1.520000000000000000e+05,1.520000000000000000e+05,1.520000000000000000e+05,1.520000000000000000e+05,1.520000000000000000e+05,1.520000000000000000e+05,1.520000000000000000e+05,2.334822000000000116e+05
1.000000000000000000e+00,5.000000000000000000e+00,2.860000000000000000e+04,1.010000000000000000e+02,2.989456059983197451e+08,4.230000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.320000000000000000e+02,2.860000000000000000e+04,2.860000000000000000e+04,2.656000000000000000e+03,1.000000000000000000e+01,2.000000000000000000e+01,2.860000000000000000e+04,2.860000000000000000e+04,2.860000000000000000e+04,2.860000000000000000e+04,2.860000000000000000e+04,2.860000000000000000e+04,2.860000000000000000e+04,2.860000000000000000e+04,5.431080000000000291e+04
1.000000000000000000e+00,7.000000000000000000e+00,2.140000000000000000e+04,2.000000000000000000e+01,2.279516235721974373e+08,2.600000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,2.140000000000000000e+04,2.140000000000000000e+04,2.760000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,2.140000000000000000e+04,2.140000000000000000e+04,2.140000000000000000e+04,2.140000000000000000e+04,2.140000000000000000e+04,2.140000000000000000e+04,2.140000000000000000e+04,2.140000000000000000e+04,1.926900000000000091e+03
1.000000000000000000e+00,9.000000000000000000e+00,5.350000000000000000e+04,1.390000000000000000e+02,5.914482048212549686e+08,6.000000000000000000e+01,3.800000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+02,5.350000000000000000e+04,5.350000000000000000e+04,7.240000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,5.350000000000000000e+04,5.350000000000000000e+04,5.350000000000000000e+04,5.350000000000000000e+04,5.350000000000000000e+04,5.350000000000000000e+04,5.350000000000000000e+04,5.350000000000000000e+04,2.865189999999999782e+04
1.000000000000000000e+00,1.100000000000000000e+01,1.130000000000000000e+04,2.000000000000000000e+01,1.114703812724899203e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.130000000000000000e+04,1.130000000000000000e+04,1.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,1.130000000000000000e+04,1.130000000000000000e+04,1.130000000000000000e+04,1.130000000000000000e+04,1.130000000000000000e+04,1.130000000000000000e+04,1.130000000000000000e+04,1.130000000000000000e+04,1.401879999999999927e+04
1.000000000000000000e+00,1.300000000000000000e+01,2.080000000000000000e+04,3.500000000000000000e+01,6.111996068642427921e+08,4.940000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.350000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,2.080000000000000000e+04,2.080000000000000000e+04,6.040000000000000000e+02,6.000000000000000000e+01,1.000000000000000000e+01,2.080000000000000000e+04,2.080000000000000000e+04,2.080000000000000000e+04,2.080000000000000000e+04,2.080000000000000000e+04,2.080000000000000000e+04,2.080000000000000000e+04,2.080000000000000000e+04,3.084900000000000000e+04
1.000000000000000000e+00,1.500000000000000000e+01,1.130000000000000000e+05,6.430000000000000000e+02,1.339729699016039848e+09,4.810000000000000000e+02,3.400000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+01,1.300000000000000000e+03,3.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.160000000000000000e+02,1.130000000000000000e+05,1.130000000000000000e+05,8.405000000000000000e+03,6.400000000000000000e+01,3.550000000000000000e+02,1.130000000000000000e+05,1.130000000000000000e+05,1.130000000000000000e+05,1.130000000000000000e+05,1.130000000000000000e+05,1.130000000000000000e+05,1.130000000000000000e+05,1.130000000000000000e+05,1.877570000000000073e+04
