# sub-PUC,Percent_Emitted_Indoors
CP_House_Detergents_Soaps,1.00E+00
CP_House_General_Cleaners,1.00E+00
CP_Industrial_Detergents_Soaps,1.00E+00
CP_Industrial_General_Cleaners,1.00E+00
CP_Auto_Aftermarket,0.00E+00
PCP_Daily_Use_Products,5.00E-01
PCP_Short_Use_Products,1.00E+00
AS_Adhesives_Sealants,1.00E+00
COAT_Architectural,5.00E-01
COAT_Aerosol,5.00E-01
COAT_Allied,5.00E-01
COAT_Auto_Refinishing,5.00E-01
COAT_Traffic_Markings,5.00E-01
COAT_Factory_Finished_Wood,5.00E-01
COAT_Wood_Furniture,5.00E-01
COAT_Metal_Furniture,5.00E-01
COAT_Paper,5.00E-01
COAT_Metal_Cans,5.00E-01
COAT_Machinery_Equipment,5.00E-01
COAT_Large_Appliances,5.00E-01
COAT_Electronics,5.00E-01
COAT_Motor_Vehicles,5.00E-01
COAT_Aircraft,5.00E-01
COAT_Railroad,5.00E-01
COAT_Marine,5.00E-01
COAT_Misc_Manufacturing,5.00E-01
COAT_Industrial_Maintenance,5.00E-01
COAT_Other_Special_Purpose,5.00E-01
PI_Printing_Inks,5.00E-01
PEST_FIFRA,0.00E+00
PEST_Agricultural,0.00E+00
DC_Dry_Cleaning,5.00E-01
MISC_All,1.00E+00
FL_Fuels_Lighter,0.00E+00
