# fipstate,fipscty,['CP_Detergents_Soaps','CP_General_Cleaners','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Industrial','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','OG_Oil_Gas','Misc_All','FL_Fuels_Lighter']
# All SOA potential reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,2.637433718607600733e-03,6.664095380670463920e-01,2.327467268712321014e-01,4.108326322172515047e-05,2.449962564980517621e-01,7.806815321675757147e-02,3.507719046831032916e-02,4.207256200722378492e-01,2.140948185772262591e-01,5.073645702198072982e-01,8.820063612942034836e-02,1.773205823976555795e-01,4.650307442450773293e-03,2.156510025681004569e-03,2.212588094491816856e-03,1.381921047436310626e-02
2.000000000000000000e+00,9.990000000000000000e+02,3.836796513382800746e-04,9.694567010732528523e-02,3.385874017839778788e-02,5.976571846162664446e-06,3.564073576870113030e-02,1.135693443042896933e-02,5.102840732586424663e-03,9.171170285887382534e-02,1.184159398117575618e-02,2.855585931865407129e-02,1.283095346783399635e-02,0.000000000000000000e+00,4.284529835399850887e-04,9.428041158475563687e-04,3.218753982936219376e-04,2.010344305210879853e-03
4.000000000000000000e+00,9.990000000000000000e+02,3.289514461398000862e-03,8.311730441675081460e-01,2.902911714839870871e-01,5.124071461429295605e-05,3.055692823871947739e-01,9.736977167211485762e-02,4.374969672096100382e-02,5.217538366446676790e-01,1.666488374913096815e-01,4.618744222354396745e-01,1.100074159230077231e-01,1.170824898128060981e-01,3.228295621780894516e-03,1.070432620612946362e-05,2.759629742578094055e-03,1.723588061371998659e-02
5.000000000000000000e+00,9.990000000000000000e+02,1.601091109530000320e-03,4.045532515859553424e-01,1.412921631116751398e-01,2.494017082996559940e-05,1.487284117813779949e-01,4.739236674306474689e-02,2.129410017391907342e-02,1.731766940671128074e-01,1.447535031496558489e-01,6.399611572885962607e-01,5.354343252889756655e-02,3.711854296601642678e-01,2.684766537146237100e-03,2.329837769249485692e-03,1.343182618068984070e-03,8.389145431456631469e-03
6.000000000000000000e+00,9.990000000000000000e+02,2.072685218155201001e-02,5.237125729621822323e+00,1.829091275191139898e+00,3.228618478351910756e-04,1.925356894333475344e+00,6.135157294738563527e-01,2.756618058878251287e-01,2.782527251001125634e+00,1.043915984101592143e+00,4.801479585668729122e+00,6.931440720104556918e-01,2.791314431044434663e+00,2.080308766842704771e-02,2.009572563259173772e-02,1.738810952845666613e-02,1.086013008581294820e-01
8.000000000000000000e+00,9.990000000000000000e+02,2.666544466053600085e-03,6.737650517322454347e-01,2.353156752914443983e-01,4.153672087317907181e-05,2.477004094395313383e-01,7.892983261208601220e-02,3.546435592601794584e-02,4.720027813537128747e-01,1.331167945834067501e-01,6.612120293396875903e-01,8.917415308449121170e-02,2.176207147607591430e-01,3.627979580047211577e-03,1.144539494347688452e-02,2.237009596638526217e-03,1.397174039129868081e-02
9.000000000000000000e+00,9.990000000000000000e+02,2.037752321220000565e-03,5.148859565639429814e-01,1.798263894148592612e-01,3.174203560177439923e-05,1.892907059035720263e-01,6.031755767299149668e-02,2.710158203953336870e-02,2.052830572391020902e-01,1.412808911170452264e-01,7.037691142545035028e-01,6.814618685496053041e-02,7.635814553009092828e-03,3.238570273664347337e-03,0.000000000000000000e+00,1.709505150269616030e-03,1.067709418549025666e-02
1.000000000000000000e+01,9.990000000000000000e+02,4.838206225525201005e-04,1.222486371156104729e-01,4.269592274392801368e-02,7.536466167164148585e-06,4.494302188739094511e-02,1.432111155035883758e-02,6.434689907100635438e-03,7.647971163920667947e-02,2.849603770916396550e-02,1.123971904577256292e-01,1.617985179327777190e-02,2.867672576574526247e-02,4.017388886430075493e-04,0.000000000000000000e+00,4.058853656783002295e-04,2.535047219469258213e-03
1.100000000000000000e+01,1.000000000000000000e+00,3.306980909865600668e-04,8.355863523666276493e-02,2.918325405361145083e-02,5.151278920516531597e-06,3.071917741520825348e-02,9.788677930931190610e-03,4.398199599558557521e-03,3.347259139207391793e-02,2.998896073257867247e-03,4.205901760111840221e-02,1.105915260960502362e-02,0.000000000000000000e+00,4.911283600290476626e-04,0.000000000000000000e+00,2.774282643866119694e-04,1.732739856388133218e-03
1.200000000000000000e+01,9.990000000000000000e+02,1.013054011120800152e-02,2.559718755489317044e+00,8.939940502338717954e-01,1.578032627059641399e-04,9.410452236349007293e-01,2.998644295743005950e-01,1.347335792822516032e-01,1.420426784262263098e+00,4.346024201413929422e-01,1.535652209754518660e+00,3.387839003646609393e-01,1.921679995840621213e+00,1.213539133954619556e-02,3.211297861838838578e-05,8.498682747054663381e-03,5.308041109358013765e-02
