# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All O3 potential reported in kg/year
1.000000000000000000e+00,1.000000000000000000e+00,1.048168094231877512e+04,2.356222587197317043e+05,1.895988855143907813e+03,2.026228991022597620e+04,4.941678559499121184e+04,2.409060787140619650e+05,1.950674379278358685e+02,1.255082247163062420e+05,1.148071858822810900e+05,2.867619325179221414e+04,2.354105571714388498e+05,1.327800444659339337e+04,3.038161808104659212e+04,1.443235277578124567e+02,4.544272429876256865e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.855544105226062584e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.087484932129303161e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.904091416526703142e+03,3.707574890052647970e+04,1.729279333046943793e+04,8.301063218347604561e+03,1.074253871595865530e+04,1.654916570399047487e+04,1.384712509647692741e+03,2.638599073995652816e+03,9.698922673684650135e+02
1.000000000000000000e+00,3.000000000000000000e+00,3.440551759692423366e+04,7.734165744235470193e+05,9.331795520621013566e+03,9.972819497792852053e+04,1.622077695102765283e+05,7.907604110461575910e+05,6.402976970150338047e+02,4.119735620458907215e+05,3.768480147280982928e+05,9.412796258221873723e+04,7.727216762115932070e+05,8.420693636283463275e+04,1.416558411746761412e+05,2.799876438501562006e+03,4.151192864691960276e+05,0.000000000000000000e+00,2.185224048710205352e+03,0.000000000000000000e+00,9.363464255549008158e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.349939728517213553e+03,4.641959762139032136e+03,0.000000000000000000e+00,4.521814255881765348e+03,1.582296499629156642e+04,1.216990231085983978e+05,5.676260406184625026e+04,3.179307212627132540e+05,3.526176830429177062e+04,7.764713577187943156e+04,1.753969178887077305e+03,8.661050395558249875e+03,3.183615839453741046e+03
1.000000000000000000e+00,5.000000000000000000e+00,5.560891797642405436e+03,1.250057021452011977e+05,3.815618469080133764e+03,4.077722682681387232e+04,2.621730228131213516e+04,1.278089501574603637e+05,1.034899766105694141e+02,6.658642456323117949e+04,6.090915586884378718e+04,1.521370558014930430e+04,1.248933872016412352e+05,5.555083492962542550e+03,1.296421030093203626e+04,6.913096979599218685e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.728519767300468629e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.287335691255816528e+03,1.966995838615718094e+04,9.174420889065846495e+03,8.301063218347604561e+03,5.699285807321577522e+03,1.516682749225125735e+04,1.384712509647692741e+03,1.399867447654182342e+03,5.145611647489185998e+02
1.000000000000000000e+00,7.000000000000000000e+00,4.480718570762225681e+03,1.007240189946944884e+05,5.579219074987061049e+02,5.962469350141310315e+03,2.112473277343136215e+04,1.029827512060112203e+05,8.338760705312067500e+01,5.365237087109274580e+04,4.907788098784534668e+04,1.225852535954476480e+04,1.006335206229051546e+05,8.806839683965006316e+02,9.885453163159969336e+03,5.412132290917968930e+03,2.272136214938128433e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.203168060129178230e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.361636566610681257e+03,1.584917510251513886e+04,7.392339133635789949e+03,8.301063218347604561e+03,4.592230290791487278e+03,1.698955915099872072e+03,2.307854182746154379e+02,1.127950749188981490e+03,4.146104349056034835e+02
1.000000000000000000e+00,9.000000000000000000e+00,1.124180284271594246e+04,2.527093690849031263e+05,1.520888815639128325e+03,1.625362407595018340e+04,5.300044561905546288e+04,2.583763668650817417e+05,2.092135498386331278e+02,1.346099662033666391e+05,1.231328978355762811e+05,3.075576451814356187e+04,2.524823151342531200e+05,8.603604922027350767e+03,2.564901023985805296e+04,9.958323415289061131e+02,9.997399345727764739e+03,5.348157656207584296e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.321900836077507165e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.214199612167446958e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.048519828475454233e+03,3.976444824827458797e+04,1.854685086206836786e+04,0.000000000000000000e+00,1.152157778314649840e+04,1.374965200535041913e+04,2.307854182746154379e+02,2.829947861804498189e+03,1.040227966147094548e+03
1.000000000000000000e+00,1.100000000000000000e+01,2.200352869570735947e+03,4.946268789918032417e+04,1.576050586154537143e+02,1.684313375746132806e+03,1.037375270123861446e+04,5.057188675295194116e+04,4.094927132072890430e+01,2.634714640991161286e+04,2.410074512795976625e+04,6.019811560490731608e+03,4.941824673446235101e+04,1.354898412917693122e+03,4.834074949239286070e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.024259914237727116e+03,7.783077059270824975e+03,3.630166538839003806e+03,0.000000000000000000e+00,2.255113089227962064e+03,8.289852041865260617e+03,2.307854182746154379e+02,5.539043857624461680e+02,2.036033385697159588e+02
1.000000000000000000e+00,1.300000000000000000e+01,4.180670452184396709e+03,9.397910700844261737e+04,1.550833776776064497e+03,1.657364361734194608e+04,1.971013013235336257e+04,9.608658483060868457e+04,7.780361550938491177e+01,5.005957817883206008e+04,4.579141574312355806e+04,1.143764196493239069e+04,9.389466879547847202e+04,1.354898412917693122e+03,2.650555847032440579e+04,5.412132290917968930e+03,2.272136214938128433e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.203168060129178230e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.330324854562792461e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.024259914237727116e+03,1.478784641261456818e+04,6.897316423794106413e+03,8.301063218347604561e+03,4.284714869533127967e+03,7.591322091476638889e+03,1.384712509647692741e+03,1.052418332948647731e+03,3.868463432824602819e+02
1.000000000000000000e+00,1.500000000000000000e+01,2.320372117001866718e+04,5.216065269368106383e+05,1.046497589206612429e+04,1.118384081495432183e+05,1.093959375766981102e+05,5.333035330311296275e+05,4.318286793822320533e+02,2.778426348681588424e+05,2.541533122584848315e+05,6.348164918335681432e+04,5.211378746543303132e+05,4.505037222951329750e+04,5.809932380991725222e+04,3.680249957824218200e+03,3.680860668199767679e+04,9.412757474925350107e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.498154280887841423e+03,0.000000000000000000e+00,7.935612663108289780e+03,5.238570273057158192e+04,2.166247888998214876e+03,0.000000000000000000e+00,2.713088553529059209e+04,1.234798547685013364e+04,8.207608535231051792e+04,3.828175622775677039e+04,9.961275862017125473e+04,2.378119257731305333e+04,6.454669808642108364e+03,1.800126262542000404e+03,5.841173522585796491e+03,2.147089752189732280e+03
1.000000000000000000e+00,1.700000000000000000e+01,6.961116351005599427e+03,1.564819580810432089e+05,7.533521801818686754e+02,8.051017936066515176e+03,3.281878127300943015e+04,1.599910599093388300e+05,1.295486038146696046e+02,8.335279046044766437e+04,7.624599367754544073e+04,1.904449475500704648e+04,1.563413623962990823e+05,1.497162746274050915e+04,1.965383918904589882e+04,2.525661735761718774e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.462282560569315683e+04,1.148452686832703148e+04,3.195909339063827647e+05,7.134357773193915818e+03,4.322296012689751478e+03,2.538639601020769874e+02,1.752352056775738902e+03,6.441269256569196386e+02
1.000000000000000000e+00,1.900000000000000000e+01,5.120821223728257792e+03,1.151131645653651067e+05,1.120571966755875792e+03,1.197546810155500498e+04,2.414255174106441336e+04,1.176945728068699682e+05,9.530012234642362046e+01,6.131699528124884819e+04,5.608900684325183101e+04,1.400974326805115925e+04,1.150097378547487606e+05,6.435767461359042500e+03,1.014428638612486429e+04,1.443235277578124567e+02,2.272136214938128433e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.203168060129178230e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.392466850684467499e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.373766523729544247e+02,1.811334297430301376e+04,8.448387581298044097e+03,6.640850574678082921e+03,5.248263189475984291e+03,2.782715562002165098e+04,0.000000000000000000e+00,1.289086570501692904e+03,4.738404970349753285e+02
