# fipstate,fipscty,['CP_Detergents_Soaps','CP_General_Cleaners','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Industrial','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','OG_Oil_Gas','Misc_All','FL_Fuels_Lighter']
# All SOA potential reported in kg/year
1.000000000000000000e+00,1.000000000000000000e+00,3.811134466487136052e+01,7.112377099933822137e+03,2.710145279575601307e+03,4.035727979773718332e-01,2.249971244182384908e+03,5.574899502872492576e+02,2.732880327418539537e+02,6.266337368904123650e+02,1.332152849125759985e+03,4.508868995773825645e+02,9.179419448168602003e+02,2.233377330095805974e+03,5.451174412691766236e+01,0.000000000000000000e+00,2.643217868818744876e+01,1.650880439505990296e+02
1.000000000000000000e+00,3.000000000000000000e+00,1.260985341037333285e+02,2.353263402750746900e+04,8.967024122810214976e+03,1.335296318631230106e+00,7.444451990917686999e+03,1.844560094296073885e+03,9.042247294046552497e+02,7.895585084819196709e+03,3.918631711730327424e+03,1.578104148520839226e+04,3.037183144588132109e+03,4.912016596255015429e+03,5.178615692057178421e+01,7.531253524840212599e+00,8.745582227699729572e+01,5.462247664908913976e+02
1.000000000000000000e+00,5.000000000000000000e+00,1.951357203728164080e+01,3.641642248949480290e+03,1.387634459228173000e+03,2.066352403691903983e-01,1.152018548315195176e+03,2.854430983910684745e+02,1.399275139916701391e+02,2.506534947561649460e+02,6.286791139273314002e+02,4.508868995773825645e+02,4.699998497491132525e+02,1.487740278434072934e+03,1.998763951320314547e+01,0.000000000000000000e+00,1.353366635236215210e+01,8.452751973071337943e+01
1.000000000000000000e+00,7.000000000000000000e+00,1.613215883226532554e+01,3.010599548770508136e+03,1.147177946437731407e+03,1.708284117131573798e-01,9.523907854302515261e+02,2.359800344099447216e+02,1.156801469461821625e+02,1.044389561484020419e+02,4.275422269955966499e+02,4.508868995773825645e+02,3.885558324640683736e+02,4.063898622800911653e+01,0.000000000000000000e+00,2.729508853245119582e+01,1.118848229130300531e+01,6.988015169073415223e+01
1.000000000000000000e+00,9.000000000000000000e+00,4.036562013488223499e+01,7.533072233386469634e+03,2.870449621435895551e+03,4.274440170813937900e-01,2.383056419439013553e+03,5.904653262746651308e+02,2.894529441055125289e+02,6.266337368904123650e+02,4.144026313668904322e+02,0.000000000000000000e+00,9.722379563402234908e+02,1.318116683743252452e+03,9.085290687819611577e+00,0.000000000000000000e+00,2.799563472889354543e+01,1.748529559772518382e+02
1.000000000000000000e+00,1.100000000000000000e+01,7.749071928162384104e+00,1.446139521243475656e+03,5.510461751447617189e+02,8.205731567007559790e-02,4.574802899446622746e+02,1.133528549567419788e+02,5.556688281257657991e+01,1.044389561484020419e+02,1.516107187927648070e+01,0.000000000000000000e+00,1.866425396115611761e+02,6.290208303117933610e+02,9.085290687819611577e+00,0.000000000000000000e+00,5.374380139927207978e+00,3.356688509161902090e+01
1.000000000000000000e+00,1.300000000000000000e+01,1.472323666350852811e+01,2.747665090362603678e+03,1.046987732775047334e+03,1.559088997731436221e-01,8.692125508948583956e+02,2.153704244178097724e+02,1.055770773438954961e+02,2.297657035264845433e+02,8.793421689980357314e+02,4.508868995773825645e+02,3.546208252619663313e+02,3.851869129437385482e+02,9.085290687819611577e+00,0.000000000000000000e+00,1.021132226586169445e+01,6.377708167407615036e+01
1.000000000000000000e+00,1.500000000000000000e+01,8.312640795665102189e+01,1.551313304606637757e+04,5.911222606098353936e+03,8.802512044608108432e-01,4.907515837588195609e+03,1.215966989535959556e+03,5.960811065349123510e+02,3.268939327444984428e+03,4.869736287623604767e+03,2.705321397464295842e+03,2.002165424924020272e+03,6.678929040951064735e+02,5.451174412691766236e+01,0.000000000000000000e+00,5.765244150103731613e+01,3.600811309828222875e+02
1.000000000000000000e+00,1.700000000000000000e+01,2.423346130261690945e+01,4.522472684615960134e+03,1.723271674998164144e+03,2.566156053682364102e-01,1.430665634008762481e+03,3.544852918647204092e+02,1.737727971593303948e+02,5.013069895123298920e+02,6.226146851756207070e+02,8.341407642181578922e+03,5.836821238761550603e+02,6.254870054224011966e+01,1.181087789416549150e+01,0.000000000000000000e+00,1.680715243759054545e+01,1.049728042865177002e+02
1.000000000000000000e+00,1.900000000000000000e+01,1.824554208540052258e+01,3.405001236382365278e+03,1.297463266931757289e+03,1.932076796231779747e-01,1.077158137233341222e+03,2.668944493981470600e+02,1.308347513496121337e+02,1.984340166819639251e+02,5.346804682758171339e+02,4.508868995773825645e+02,4.394583432672213803e+02,2.152099357639787286e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.265422232946497161e+01,7.903475671572117278e+01
1.000000000000000000e+00,2.100000000000000000e+01,3.064405717046033573e+01,5.718824470371926509e+03,2.179137147163376085e+03,3.244993846952989869e-01,1.809126601144801043e+03,4.482590173289341919e+02,2.197417638497346104e+02,6.266337368904123650e+02,1.224003869720254215e+03,2.705321397464295842e+03,7.380864066457193076e+02,4.381942862846201024e+03,9.085290687819611577e+00,0.000000000000000000e+00,2.125323055334850153e+01,1.327417728623116204e+02
1.000000000000000000e+00,2.300000000000000000e+01,9.862455181297578477e+00,1.840541208855332798e+03,7.013314956387877146e+02,1.044365835800962344e-01,5.822476417477520272e+02,1.442672699449443598e+02,7.072148721600655108e+01,6.266337368904123650e+02,1.908273580538265833e+03,0.000000000000000000e+00,2.375450504147142397e+02,1.335785808190212833e+02,9.085290687819611577e+00,1.976383500761097878e+01,6.840120178089174274e+00,4.272149011660602724e+01
1.000000000000000000e+00,2.500000000000000000e+01,1.831598819383836485e+01,3.418147959302761137e+03,1.302472777614891584e+03,1.939536552201786834e-01,1.081317048960110924e+03,2.679249298977537705e+02,1.313399048297264642e+02,6.266337368904123650e+02,1.380668279139444621e+03,4.508868995773825645e+02,4.411550936273264938e+02,9.718018445828266749e+01,1.544499416929333790e+01,1.693390944070132420e+01,1.270308033073703591e+01,7.933991021655405973e+01
1.000000000000000000e+00,2.700000000000000000e+01,9.862455181297578477e+00,1.840541208855332798e+03,7.013314956387877146e+02,1.044365835800962344e-01,5.822476417477520272e+02,1.442672699449443598e+02,7.072148721600655108e+01,2.715412859858453771e+02,1.021856244663234634e+03,0.000000000000000000e+00,2.375450504147142397e+02,5.300737334088145758e+01,9.085290687819611577e+00,0.000000000000000000e+00,6.840120178089174274e+00,4.272149011660602724e+01
1.000000000000000000e+00,2.900000000000000000e+01,1.049647015723813936e+01,1.958861715138889849e+03,7.464170917869955701e+02,1.111503639531024185e-01,6.196778472886790041e+02,1.535415944414050671e+02,7.526786853703555380e+01,1.044389561484020419e+02,2.072013156834452161e+02,0.000000000000000000e+00,2.528158036556602042e+02,1.915333090050516773e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.279842189537764519e+00,4.546787162410213767e+01
1.000000000000000000e+00,3.100000000000000000e+01,3.480037756829288753e+01,6.494481122675246297e+03,2.474698277468294236e+03,3.685119449183394957e-01,2.054502393024210960e+03,5.090573668057323289e+02,2.495458191764802791e+02,1.075721248328541151e+03,7.186348070777050907e+02,4.508868995773825645e+02,8.381946778919204917e+02,3.166307100895318854e+03,9.085290687819611577e+00,0.000000000000000000e+00,2.413585262840037160e+01,1.507458294114527177e+02
1.000000000000000000e+00,3.300000000000000000e+01,3.832268299018488023e+01,7.151817268695007442e+03,2.725173811625003964e+03,4.058107247683739316e-01,2.262447979362694241e+03,5.605813917860696165e+02,2.748034931821969167e+02,1.827681732597036216e+03,2.191280255618093634e+03,2.705321397464295842e+03,9.230321958971753702e+02,1.738641845580911877e+03,5.451174412691766236e+01,0.000000000000000000e+00,2.657875269200365054e+01,1.660035044530977473e+02
1.000000000000000000e+00,3.500000000000000000e+01,9.369332422232700353e+00,1.748514148412566328e+03,6.662649208568484482e+02,9.921475440109141231e-02,5.531352596603645679e+02,1.370539064476971589e+02,6.718541285520623774e+01,1.044389561484020419e+02,4.022737738634692732e+02,0.000000000000000000e+00,2.256677978939785589e+02,6.466899547587538564e+02,9.085290687819611577e+00,6.527086388194851452e+01,6.498114169184716182e+00,4.058541561077573334e+01
1.000000000000000000e+00,3.700000000000000000e+01,8.030856361913743413e+00,1.498726412925056593e+03,5.710842178772986699e+02,8.504121805807834944e-02,4.741159368517409689e+02,1.174747769551689771e+02,5.758749673303391603e+01,6.266337368904123650e+01,4.699932282575708768e+02,0.000000000000000000e+00,1.934295410519816016e+02,1.236838711287233927e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.569812145015470506e+00,3.478749909495062553e+01
1.000000000000000000e+00,3.900000000000000000e+01,2.648773677262778747e+01,4.943167818068607630e+03,1.883576016858458388e+03,2.804868244722584225e-01,1.563750809265391126e+03,3.874606678521362255e+02,1.899377085229890270e+02,1.211491891321463982e+03,7.135811164512795131e+02,5.410642794928591684e+03,6.379781353995182371e+02,2.463075947906292186e+03,9.085290687819611577e+00,2.355228375040939071e+00,1.837060847829663857e+01,1.147377163131704805e+02
