# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All SOA potential reported in kg/year
1.000000000000000000e+00,1.000000000000000000e+00,3.623772547072012173e+01,6.503722775249246297e+03,1.140001749424768640e+01,5.336183989308173068e+02,1.647561311448769743e+02,2.659291765750454033e+03,8.345458048125996564e-01,2.861394507689364218e+03,2.228883608671570073e+03,6.889240624534227209e+02,1.067748071739712714e+03,1.972016678619671097e+02,1.123479541049772706e+03,0.000000000000000000e+00,1.051004586743525948e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.483641676393048670e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.718569968982924649e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.610530014775187624e+01,5.270894338283619618e+02,3.306004732887951718e+02,2.202942453114989121e+02,4.385831310530697920e+02,1.383661835116949760e+03,5.207459323333868895e+01,2.291939782396315906e+01,1.668292529469867134e+02
1.000000000000000000e+00,3.000000000000000000e+00,1.210128423566018512e+02,2.171863627501116571e+04,6.995141820752479589e+01,3.274325132016188036e+03,5.501892700640963767e+02,8.880481626502427389e+03,2.786895662056673828e+00,9.555386768378717534e+03,7.443169715089366946e+03,2.300604077171100471e+03,4.731732893257493743e+03,9.666114539463633264e+02,5.240856609466319242e+03,1.288607951924959423e+02,8.092735317925152231e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.891123780093332698e+02,3.437458618568003885e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.864283281638207868e+01,2.517464604284581924e+02,0.000000000000000000e+00,1.864725464535046058e+02,2.589124255786948652e+02,1.760170919536318479e+03,1.104012529413312450e+03,7.710298585902462037e+03,1.464611550779412028e+03,6.938725480338209309e+03,4.686713391000482432e+01,7.653740514206674561e+01,5.571122863010687070e+02
1.000000000000000000e+00,5.000000000000000000e+00,1.805273549909962227e+01,3.239993280370518733e+03,2.493486972524587131e+01,1.167165336987255614e+03,8.207741569808651150e+01,1.324793160674952560e+03,4.157500086018973140e-01,1.425475731020431795e+03,1.110374498480545071e+03,3.432048705288036103e+02,5.119340069984924071e+02,6.627269165852993638e+01,4.804434696686309394e+02,1.916391313119169979e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.718569968982924649e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.853545456377955816e+02,2.625828748816475695e+02,1.646969511091990626e+02,2.202942453114989121e+02,2.184912313457811592e+02,1.799288652179857991e+03,2.690520650389165880e+01,1.141787519332471135e+01,8.311019353015944944e+01
1.000000000000000000e+00,7.000000000000000000e+00,1.514313710364034193e+01,2.717796561189921704e+03,3.743076905102548313e+00,1.752080386002558328e+02,6.884882122660005166e+01,1.111273383862872379e+03,3.487426812081849126e-01,1.195728726753402498e+03,9.314130408499811438e+02,2.878897998208645959e+02,7.313342957121319898e+01,1.616407113622680924e+01,3.664382969322130634e+02,1.843700608138788084e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.472736127321748079e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.610530014775187624e+01,2.202618254501732338e+02,1.381523875604636942e+02,2.202942453114989121e+02,1.832765273926149234e+02,2.295226982955422201e+01,0.000000000000000000e+00,9.577631572422561135e+00,6.971514402346707584e+01
1.000000000000000000e+00,9.000000000000000000e+00,3.795703361349151095e+01,6.812293563855962020e+03,1.065994145217417355e+01,4.989765053672684871e+02,1.725730278780280855e+02,2.785462542957592632e+03,8.741410437270660250e-01,2.997154101119882398e+03,2.334633560907812807e+03,7.216102405990229727e+02,9.287945555544076797e+02,1.066828694990969666e+02,9.494871856558635272e+02,3.964947544384490641e+01,2.312210090835757796e+02,2.054741475025587363e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.472736127321748079e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.864283281638207868e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.322106002955037525e+02,5.520973266742332726e+02,3.462858972039570062e+02,0.000000000000000000e+00,4.593918197526680274e+02,1.141023554061662480e+03,8.679098872223116601e+00,2.400681450904170688e+01,1.747445094736685860e+02
1.000000000000000000e+00,1.100000000000000000e+01,7.207868752387761369e+00,1.293623690697386337e+03,1.266668610471964662e+00,5.929093321453524368e+01,3.277083630436421657e+01,5.289467198299261099e+02,1.659954246798783783e-01,5.691459878433224731e+02,4.433363382211700241e+02,1.370305160719398998e+02,7.313342957121319898e+01,8.082035568113404622e+00,1.791903596429878576e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.610530014775187624e+01,1.048407815461523001e+02,6.575812333663992604e+01,0.000000000000000000e+00,8.723642570216168224e+01,4.431473958112297282e+02,8.679098872223116601e+00,4.558785333598510903e+00,3.318319082339699122e+01
1.000000000000000000e+00,1.300000000000000000e+01,1.382059237843157717e+01,2.480434416107832931e+03,1.299402743102139368e+01,6.082317081446144584e+02,6.283582373956074463e+01,1.014218939857381201e+03,3.182848051201338513e-01,1.091298270268389160e+03,8.500669237451792242e+02,2.627465858627104467e+02,1.462668591424263980e+02,1.616407113622680924e+01,9.781062180167605220e+02,2.497916952962228834e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.472736127321748079e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.074106230614327842e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.101755002462531330e+01,2.010249847995030450e+02,1.260866768564930567e+02,2.202942453114989121e+02,1.672698437775393927e+02,3.968178141182406193e+02,8.679098872223116601e+00,8.741157199285218837e+00,6.362648515678873906e+01
1.000000000000000000e+00,1.500000000000000000e+01,7.803013878731704267e+01,1.400436655984326717e+04,1.000525879957068724e+02,4.683317533687446485e+03,3.547668517353190509e+02,5.726212196323970602e+03,1.797014689195013837e+00,6.161396932615785772e+03,4.799420909183309050e+03,1.483449623531092584e+03,2.274449659664730916e+03,4.170330353146517837e+02,2.151104237246595858e+03,2.478092215240306473e+02,1.303245687561972318e+03,3.616344996045033895e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.449710808700419022e+02,0.000000000000000000e+00,9.258494706106357341e+01,5.233045555553005215e+03,2.013971683427665482e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.745967008372606415e+02,1.134973598389538893e+03,7.118769315342671007e+02,1.321765471868993473e+03,9.443943332894568812e+02,6.397061198993402513e+02,5.207459323333868895e+01,4.935198801510316002e+01,3.592308731340225449e+02
1.000000000000000000e+00,1.700000000000000000e+01,2.254938756480942175e+01,4.047024573649622198e+03,9.108628210135478298e+00,4.263617669359837805e+02,1.025216071540201597e+02,1.654778270293621972e+03,5.193067873012710001e-01,1.780539283069477278e+03,1.386951296636871348e+03,4.286917979865275470e+02,5.119340069984924071e+02,8.890239124924748637e+01,7.268732705187068177e+02,7.070823120819008523e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.472736127321748079e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.420992848016330754e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.279881330939260806e+02,2.057203675026991903e+02,8.481328444492706694e+03,2.729139556370379864e+02,5.927729070826045898e+01,8.679098872223116601e+00,1.426188806199167480e+01,1.038116336768658243e+02
1.000000000000000000e+00,1.900000000000000000e+01,1.719308142771392411e+01,3.085707886067160416e+03,8.325855473326958744e+00,3.897213025899226864e+02,7.816896733151097010e+01,1.261707772071383260e+03,3.959523891446640742e-01,1.357595934305172932e+03,1.057499522362423932e+03,3.268617814560034276e+02,1.535802020995477335e+02,6.465628454490723698e+01,3.760938008556846057e+02,6.608245907307483513e+00,1.051004586743525948e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.472736127321748079e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.074106230614327842e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.038246754555682969e+02,2.500789284587119710e+02,1.568542391516181738e+02,2.202942453114989121e+02,2.080868869959820131e+02,2.618901849428220430e+03,0.000000000000000000e+00,1.087416685078544099e+01,7.915256526681851312e+01
