# fipstate,fipscty,['CP_Detergents_Soaps','CP_General_Cleaners','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Industrial','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','OG_Oil_Gas','Misc_All','FL_Fuels_Lighter']
# All O3 potential reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,1.614178233525939810e+00,2.365935576708536914e+01,1.200640510960113794e+01,3.236952538219001752e-01,5.000009071240619996e+00,5.129814137112017391e+00,1.448775913647773805e+00,4.298931559479786557e+00,1.038897319852276091e+01,5.828836568472369528e+00,3.576732170899466490e-01,1.208611990153182436e+00,7.774589393451450392e-02,1.494668531259873145e-01,1.561978609357570769e-01,7.287970421162483226e-02
2.000000000000000000e+00,9.990000000000000000e+02,2.427993092928600882e-01,3.558761429965757284e+00,1.805963435235837800e+00,4.868916109571081591e-02,7.520846977991098026e-01,7.716095431239323732e-01,2.179200436778526151e-01,1.187874366797309955e+00,6.827127793260571176e-01,2.847244683132784671e-01,5.380001307061280102e-02,0.000000000000000000e+00,6.629064805689964882e-03,5.045359665708514657e-02,2.349476158242012544e-02,1.096232217516523305e-02
4.000000000000000000e+00,9.990000000000000000e+02,2.175777743940173092e+00,3.189083996105048868e+01,1.618363355398320280e+01,4.363142275474363174e-01,6.739595560609751956e+00,6.914561972315572014e+00,1.952829200271061660e+00,4.637911426501847068e+00,6.993870938135832382e+00,5.057103492159436442e+00,4.821136905358238689e-01,1.028321803776740984e+00,7.314160624520685272e-02,5.505630364151587646e-04,2.105417000529892502e-01,9.823576796858594917e-02
5.000000000000000000e+00,9.990000000000000000e+02,9.886841680346382111e-01,1.449135540733979077e+01,7.353923129630697275e+00,1.982633429659138580e-01,3.062505556134879292e+00,3.142011158981110164e+00,8.873752471092615224e-01,2.123014236018171186e+00,6.559397291564079246e+00,7.227268809624987078e+00,2.190748454675923163e-01,3.372094226670481643e+00,4.767934058987886858e-02,2.241672459067960699e-01,9.567118982315123144e-02,4.463881882962020958e-02
6.000000000000000000e+00,9.990000000000000000e+02,1.264439616261986288e+01,1.853316201755020529e+02,9.405017335854223859e+01,2.535612821604884548e+00,3.916673772471818182e+01,4.018354407404412854e+01,1.134874465690756118e+01,2.896910829476538396e+01,4.426350137333590595e+01,4.827720911118845493e+01,2.801773533871248834e+00,2.206885429533849674e+01,4.761554624237641642e-01,1.180275014945361134e+00,1.223549910663430440e+00,5.708910163243945401e-01
8.000000000000000000e+00,9.990000000000000000e+02,1.721790115761002493e+00,2.523664615155772850e+01,1.280683211690787893e+01,3.452749374100268498e-01,5.333343009323326278e+00,5.471801746252817011e+00,1.545360974557625111e+00,5.241406730741124065e+00,6.300051756129509073e+00,5.147940520924263019e+00,3.815180982292764034e-01,2.340433715738621245e+00,7.577659016378653078e-02,1.135723454038646052e+00,1.666110516648075524e-01,7.773835115906646553e-02
9.000000000000000000e+00,9.990000000000000000e+02,1.207270803824609162e+00,1.769522650079926507e+01,8.979790488222517908e+00,2.420970752542961624e-01,3.739590117865379426e+00,3.836673490048362556e+00,1.083563652082397466e+00,2.338849941512218589e+00,7.016010191160734877e+00,6.102874327519198339e+00,2.675097602818559128e-01,3.672577870631217600e-02,6.423813426769020563e-02,0.000000000000000000e+00,1.168229834915349846e-01,5.450794544161106925e-02
1.000000000000000000e+01,9.990000000000000000e+02,3.050124287100057230e-01,4.470632433488840540e+00,2.268710298835048267e+00,6.116491567009656877e-02,9.447933807531753159e-01,9.693211296584582914e-01,2.737582820163605990e-01,8.633428219761886124e-01,1.101152016730273742e+00,1.009894025679537233e+00,6.758533497928784217e-02,2.113401629190509723e-01,7.988161774220542410e-03,0.000000000000000000e+00,2.951488747265243462e-02,1.377122744165494052e-02
1.100000000000000000e+01,1.000000000000000000e+00,2.084980218304338384e-01,3.056000119915193380e+00,1.550827326656813554e+00,4.181063695199543212e-02,6.458345050352466421e-01,6.626009927103020392e-01,1.871335555128374184e-01,5.292531563144451390e-01,1.333503844988301601e-01,2.633510497803782102e-01,4.619945720745143730e-02,0.000000000000000000e+00,1.131656251347910001e-02,0.000000000000000000e+00,2.017555703753528759e-02,9.413628460668206979e-03
1.200000000000000000e+01,9.990000000000000000e+02,6.423084220905302288e+00,9.414451982319384626e+01,4.777548699862119719e+01,1.288037364166310983e+00,1.989586942931163094e+01,2.041238542059156558e+01,5.764920823056766785e+00,1.183517641949026533e+01,1.918877463340419354e+01,1.531176436969450982e+01,1.423241343003745607e+00,1.028321803776741028e+01,2.409762135223197099e-01,1.717756673615295458e-03,6.215373216402000356e-01,2.900004896754237449e-01
1.300000000000000000e+01,9.990000000000000000e+02,3.295613893448794407e+00,4.830451802446595622e+01,2.451307709876899210e+01,6.608778098863796746e-01,1.020835185378293097e+01,1.047337052993703388e+01,2.957917490364204927e+00,6.778041367281132601e+00,1.573836101662282516e+01,1.635371852317339858e+01,7.302494848919743875e-01,4.941286589576547428e+00,1.464496325273766109e-01,0.000000000000000000e+00,3.189039660771706974e-01,1.487960627654006940e-01
1.500000000000000000e+01,9.990000000000000000e+02,4.640762421387076841e-01,6.802064783037042872e+00,3.451841469010326957e+00,9.306238547379630521e-02,1.437502607981677949e+00,1.474821564419704911e+00,4.165230751737349912e-01,1.658445106787935996e+00,8.626217922792499548e-01,7.610463670464842068e-01,1.028310499133596595e-01,0.000000000000000000e+00,2.551773900098228826e-02,0.000000000000000000e+00,4.490688501903015994e-02,2.095291496084213806e-02
1.600000000000000000e+01,9.990000000000000000e+02,5.313336685356218059e-01,7.787871273332267918e+00,3.952108348577040964e+00,1.065496877163754907e-01,1.645836319283370486e+00,1.688563820132705562e+00,4.768887382423921961e-01,1.393040542050662633e+00,2.307042559398956083e+00,1.392325550143216573e+00,1.177341006254407629e-01,4.173383943899110271e+00,1.389607308640448610e-02,0.000000000000000000e+00,5.141512922468670366e-02,2.398956930299317100e-02
1.700000000000000000e+01,9.990000000000000000e+02,4.338104002600963405e+00,6.358451862404193378e+01,3.226721373205305810e+01,8.699309946463568144e-01,1.343752437895916430e+01,1.378637549348854385e+01,3.893585267928391769e+00,9.333616141807457467e+00,2.251701782070263747e+01,3.628366796872671074e+01,9.612467709292314977e-01,7.745800599876748294e+00,1.526349105678320994e-01,0.000000000000000000e+00,4.197817512648471805e-01,1.958642050687417202e-01
1.800000000000000000e+01,9.990000000000000000e+02,2.192592100539401567e+00,3.213729158362429672e+01,1.630870027387487653e+01,4.396860531080811763e-01,6.791678988435173814e+00,6.967997536243823120e+00,1.967920616038226100e+00,5.404339348791729059e+00,2.015826796935515119e+01,1.965514835013031103e+01,4.858394532138441413e-01,4.073222729245531859e+00,7.020151892552846384e-02,0.000000000000000000e+00,2.121687611044033861e-01,9.899493155412372736e-02
1.900000000000000000e+01,9.990000000000000000e+02,1.032401495192632357e+00,1.513212962603168243e+01,7.679096601349059803e+00,2.070300894235903022e-01,3.197922468480979052e+00,3.280943625194560287e+00,9.266129281038886223e-01,2.892331822748240633e+00,8.470507628261875865e+00,8.816535144821354919e+00,2.287618284304450134e-01,7.445316955916013058e+00,3.417158092305453559e-02,0.000000000000000000e+00,9.990154855682796542e-02,4.661264415201837180e-02
2.000000000000000000e+01,9.990000000000000000e+02,9.651440687957183462e-01,1.414632313573646272e+01,7.178829721782348017e+00,1.935427871810111722e-01,2.989588757179287182e+00,3.067201369481560302e+00,8.662472650352314174e-01,2.266163766747487873e+00,6.507542894944291056e+00,8.084495560069523634e+00,2.138587777183639516e-01,6.109834093868298233e+00,3.206359378819078482e-02,1.557983280447616137e+00,9.339330435117143558e-02,4.357598980986734927e-02
2.100000000000000000e+01,9.990000000000000000e+02,1.469574766772574481e+00,2.153987181295063991e+01,1.093083131853270373e+01,2.946975540003549665e-01,4.552091591941980653e+00,4.670268287329065515e+00,1.318989738050160954e+00,2.930786587990743541e+00,9.764072555002595522e+00,1.477971891550052774e+01,3.256316580589722620e-01,2.066659729018839542e+00,5.378140861185289057e-02,4.022633769263716519e-01,1.422051358935955134e-01,6.635089737600011195e-02
