# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All SOA potential reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,4.250558193276030017e-01,0.000000000000000000e+00,8.677028869833838809e-02,5.576696522713852494e-02,2.301997345016798258e-01,6.661588795108729045e-05,3.795467024324639116e-01,2.621601658220581998e-01,7.954314658761242607e-02,3.580784257530954529e-01,6.144558363316278415e-02,1.131372271702816845e-01,1.114999383613353434e-02,8.480696904050274987e-02,9.751208717031578654e-02,1.233871842863048336e-03,1.353761177003972964e-02,8.816051624298855763e-03,8.037470164320978383e-03,4.299638557510200056e-03,1.174151552920386504e-01,2.956390702284790797e-03,8.863233789520245931e-03,1.124854722718171413e-01,2.706568987869916940e-02,6.809068925737389588e-02,3.176108723476279982e-02,1.511210765360888608e-01,4.401589130295570362e-02,1.890303525823388842e-01,1.154335166635785288e-03,2.029473350483846760e-03,1.477311639650200764e-02
2.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,6.459095646277185354e-02,0.000000000000000000e+00,5.999236533514286374e-03,8.474279045855894962e-03,3.498086687169856684e-02,1.012286792163945237e-05,5.767544735932492173e-02,3.983753447646534024e-02,1.208727815156089916e-02,5.441315459382089353e-02,7.997753620404031774e-03,7.061199119085429660e-03,2.953490678089703875e-04,1.780037659297210081e-03,2.513198122946283812e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.014333445892394290e-04,0.000000000000000000e+00,2.491099975382503155e-05,1.047928558097537747e-04,2.696279073972180588e-05,0.000000000000000000e+00,6.857521416767612711e-03,4.800777883723571205e-04,1.034697690364630093e-02,4.826375524127872983e-03,6.916195603021701999e-03,6.688600389748114265e-03,7.566122867391927593e-04,9.308534166139955128e-05,3.083962596508443431e-04,2.244904491592161332e-03
4.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,5.985837620634079093e-01,0.000000000000000000e+00,7.394322118639849728e-02,7.853368505182600767e-02,3.241781828137058619e-01,9.381165251668583934e-05,5.344956654873668223e-01,2.755327844230039402e-01,1.120164311738954394e-01,5.042630201842560611e-01,9.090536644417515633e-02,9.967148027491527784e-02,3.785151352406011544e-03,5.900264688859283013e-02,1.889924988455605331e-02,1.703918259191828386e-03,4.230503678137416054e-03,5.285542188595870536e-03,1.237770405305430510e-03,2.907113671271381160e-03,1.041640986748952613e-02,7.352911639373547331e-03,0.000000000000000000e+00,2.341143064326577442e-03,2.422827360231363802e-02,7.156395078381196095e-02,4.472746923988245998e-02,1.423326623781090428e-01,6.198526548436854300e-02,9.215393772609058176e-02,1.142411011298994370e-03,2.858000615217458004e-03,2.080420309033169726e-02
5.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,2.611683178548983020e-01,0.000000000000000000e+00,5.081286098945403396e-02,3.426506317048923916e-02,1.414423110958774876e-01,4.093099919468868203e-05,2.332060151028334527e-01,1.610798544638625263e-01,4.887393336723402232e-02,2.200151976792214803e-01,3.908680501445177535e-02,4.728325636141684357e-02,7.216790265593102903e-03,3.632272650230251171e-02,5.297821643170765732e-02,9.254038821472861109e-03,1.039495189485193510e-02,1.190151243180409026e-02,2.250491646009873605e-04,2.403911476244115653e-03,2.035077259825418886e-02,1.720067444542840943e-03,1.276597459395920411e-02,2.953158416575729986e-02,1.397052455347709901e-02,4.183716577051014435e-02,1.951505978548312079e-02,1.921557020406411687e-01,2.704481568717690201e-02,4.897601345582059396e-01,5.662050534114880865e-04,1.246975378235435587e-03,9.077090074551749654e-03
6.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,3.152473176628138418e+00,0.000000000000000000e+00,4.607600575880602123e-01,1.260648230728027008e-01,1.840583236760762409e+00,5.226660801279591449e-04,2.206693094506465336e+00,1.569286283170549190e+00,6.379852369410091706e-01,1.281541086070685065e+00,4.384192313015548570e-01,5.981162828981555490e-01,1.630613894320267002e-02,3.270290166787153674e-01,2.598144219501867247e-01,1.085219663699071163e-02,6.130604187289420692e-02,5.500596605224994384e-02,3.719741192047748730e-03,9.281838508275207233e-03,9.280979274790843170e-02,2.525580817892029983e-02,7.134356087366912867e-03,2.100392446845434913e-01,2.151713865721735230e-01,4.075897050498220597e-01,2.547435656561387596e-01,1.326301650432967216e+00,3.530346745742219960e-01,2.560137631025057647e+00,6.017467293185680029e-03,1.627763161522095478e-02,1.184895315100882862e-01
8.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,4.776400443990591049e-01,0.000000000000000000e+00,5.930623898598657434e-02,6.266597123461957464e-02,2.586780521719907466e-01,7.485702872854138796e-05,4.265009336612223256e-01,2.945923512845807779e-01,8.938353585618302732e-02,4.023767877019319705e-01,7.512883290092703392e-02,7.881001855913075116e-02,2.763137826202592597e-03,3.684553476587232312e-02,1.714001119849365568e-02,6.286870818397435933e-04,2.480283870725135884e-02,9.934963634767752030e-03,3.214988065728390399e-04,6.414582436609946167e-04,6.350447062071079563e-03,3.292632563274262066e-03,5.106389837583681689e-04,1.659077762121196568e-03,2.093687072170641664e-02,7.651427968096653764e-02,3.569029390298087551e-02,1.481916051500955789e-01,4.946115620641414190e-02,3.472435707284411421e-01,8.331522728867412882e-04,2.280542218584940932e-03,1.660071842493525060e-02
9.000000000000000000e+00,9.990000000000000000e+02,0.000000000000000000e+00,2.909351851952446388e-01,0.000000000000000000e+00,6.703180892512994316e-02,1.163426002137176764e-02,1.698635943437310225e-01,4.823576420718181748e-05,2.036511107783601782e-01,1.448261634082846361e-01,5.887832906473580707e-02,1.182707583288884062e-01,4.825241835517554700e-02,5.241259733300409479e-02,7.697204606070097779e-04,2.032728320022617746e-02,4.775076433597938430e-03,1.974194948580877337e-03,5.100778720497111882e-03,9.701431050713457682e-03,1.928992839437034673e-04,3.243412167948018978e-03,8.682088103838102311e-03,1.374507560283023955e-02,1.458968525023908783e-04,1.397312159653185670e-01,1.871520639127673136e-02,3.761560517040774682e-02,2.350975323150483395e-02,1.619358919535526797e-01,3.258083500569298324e-02,4.456915667552878955e-03,8.319983223702777419e-04,1.502228727471548262e-03,1.093515213679220957e-02
1.000000000000000000e+01,9.990000000000000000e+02,0.000000000000000000e+00,7.625905550660869170e-02,0.000000000000000000e+00,1.023680757365223390e-02,3.049537236799674655e-03,4.452413433912281310e-02,1.264341340360949734e-05,5.338041650207157179e-02,3.796139826384285765e-02,1.543301048744189462e-02,3.100077537255821469e-02,1.621187410863516101e-02,1.854409818042176278e-02,1.631595873318096937e-04,4.829752530121101187e-03,2.854993067666977691e-02,1.028226535719206766e-03,0.000000000000000000e+00,6.188220324940420626e-04,0.000000000000000000e+00,5.667252443995195220e-04,2.619821395243844640e-04,1.486918606969952323e-04,7.294842625119543915e-05,2.212103682828262235e-03,7.302922443772976585e-03,9.859689266115233622e-03,6.162305791322019062e-03,1.678388869268324091e-02,8.539990456923982065e-03,3.289156567953542554e-02,1.103945994083540069e-04,3.937596748052164071e-04,2.866289181259462030e-03
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.470229805203067480e-02,0.000000000000000000e+00,1.021971140216162673e-03,2.187500143294134145e-03,3.193814099777672610e-02,9.069398562631680340e-06,3.829094701264432188e-02,2.723054604473318027e-02,1.107043791607149538e-02,2.223753812590520060e-02,3.206400571413610531e-04,6.515442934660481585e-03,7.553684598694896112e-06,2.551802238852643543e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.965116285253206149e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.291513615458243498e-04,7.072572002792543167e-03,4.420357501745337744e-03,7.004300005607966111e-03,6.125923016390743062e-03,0.000000000000000000e+00,1.677074750593809515e-04,2.824524766137312144e-04,2.056052281987393125e-03
1.200000000000000000e+01,9.990000000000000000e+02,0.000000000000000000e+00,1.770335577405686811e+00,0.000000000000000000e+00,1.872957770630955532e-01,2.322665355851955549e-01,9.587700282338005309e-01,2.774517395076213280e-04,1.580792451368200124e+00,1.091883577238262903e+00,3.312931053752105059e-01,1.491378185610830576e+00,2.864358442165497176e-01,2.985492966096251477e-01,8.669363813922130457e-03,9.263664517825061229e-02,7.449119236412783673e-02,3.384334197567217487e-03,2.139426145800921511e-02,1.849703874509510057e-02,6.108477324883943493e-04,4.959780050986564368e-03,2.335046809580838822e-02,4.290652332272494943e-03,9.483295412655406683e-04,2.214868812431797507e-01,6.040891866404992511e-02,2.835942109276191614e-01,1.322832911633419761e-01,4.420638399765782212e-01,1.833239184164340285e-01,1.076757663368211881e+00,3.616865568769172742e-03,8.452651892736844780e-03,6.152926829058569247e-02
