# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All O3 potential reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,5.512983620234905846e-01,1.275763371424876524e+01,2.435190024567753797e-01,2.065579138333720532e+00,2.851798779462234812e+00,2.004148844709334654e+01,2.704669425053226814e-02,1.112972517583816057e+01,8.461167535098621073e+00,1.470598312243246664e+00,2.408725507952487987e+01,1.425878877178496262e+00,2.560754664301318151e+00,2.286123123042161087e-01,1.671900272798854115e+00,1.265175528641919456e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.581976151180174706e-01,0.000000000000000000e+00,9.455287733586237309e-02,1.944386201623361732e+00,4.357404132243603706e-02,0.000000000000000000e+00,2.890024136282366207e+00,5.431837245068237285e-01,2.833802943094043680e+00,1.325020236547866048e+00,3.604397652213219505e+00,2.504565746284463934e-01,1.530747586627399404e+00,3.231956422950087865e-02,2.527206783750556296e-01,9.289468573522406680e-02
2.000000000000000000e+00,9.990000000000000000e+02,7.950996296912493655e-02,1.839945579505200657e+00,1.803268414330331387e-02,1.529570004754767232e-01,4.112952821375813195e-01,2.890445744162466912e+00,3.900758294299872496e-03,1.605163551256340249e+00,1.220295875579960443e+00,2.120942585785081103e-01,3.473938780393627468e+00,1.879738282784686465e-01,1.378612409227924773e-01,4.112635664906935835e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.060567865802905338e-03,0.000000000000000000e+00,4.109885931646398843e-02,9.815827195796553509e-03,4.086998666932445956e-01,1.910985361077001676e-01,2.190876555825234939e-01,3.612162550418230450e-02,7.030728283857242376e-03,2.309950528314968013e-03,3.644816158237854792e-02,1.339756025344665709e-02
4.000000000000000000e+00,9.990000000000000000e+02,7.852157945155295860e-01,1.817073327826268425e+01,2.574643696842893736e-01,2.183866661405636123e+00,4.061824954811747546e+00,2.854514788779231793e+01,3.852268205006089546e-02,1.585209860702048523e+01,8.994152188314453511e+00,2.094577277398249837e+00,3.430754458537905549e+01,2.530782468928932882e+00,2.414515307674837352e+00,8.762111557828441977e-02,1.791321720855914679e+00,6.196778099470625634e-01,1.878728846078783765e-01,0.000000000000000000e+00,1.701330429155006041e-01,1.794428104898951604e-01,2.226901100095993735e-01,3.272141379039947839e-01,2.054666016372707071e-01,0.000000000000000000e+00,4.765085138140751769e-02,6.068782246385383550e-01,3.012309452112055475e+00,1.887230018190685144e+00,6.065482316590233403e+00,3.567259977277672522e-01,7.680426193070217789e-01,4.651490123683816452e-02,3.599507670082964239e-01,1.323101599615243151e-01
5.000000000000000000e+00,9.990000000000000000e+02,3.305593764324117889e-01,7.649497505953942067e+00,1.347693829390814446e-01,1.143142108322683814e+00,1.709943092864806502e+00,1.201690841150417910e+01,1.621724097492074565e-02,6.673400952046387502e+00,5.073329537977460113e+00,8.817730916040186218e-01,1.444275653174699059e+01,8.974518262096550236e-01,1.033611583034643511e+00,1.308351842251881947e-01,1.897163472478393675e-01,8.520569886772109969e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.486321774409242791e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.075075496823448967e-02,4.453217033813013787e-02,5.579279400046192050e-01,9.494432137745448808e-01,2.124801457967064600e-01,1.699152760699815579e+00,7.944842454201348492e-01,4.178894171296280824e+00,1.501741612811999527e-01,5.573356815275798404e+00,1.455071401169343373e-02,1.515317214958003256e-01,5.569980160618017567e-02
6.000000000000000000e+00,9.990000000000000000e+02,4.314434912309680570e+00,9.282417078851818815e+01,1.433104343251700774e+00,1.215589093504764762e+01,6.324428715287060854e+00,1.572049194507619916e+02,2.081834505142665104e-01,6.348142538839839943e+01,4.968797362775118387e+01,1.157144089153777244e+01,8.457211782227133767e+01,1.040151184050391286e+01,1.213852271671762928e+01,3.693680527897905130e-01,8.855559686692831889e+00,9.907098986528662721e+00,5.867066468718322714e-01,3.466349115481451637e+00,1.254728773465391134e+00,2.366788793530513746e-01,7.029463913412064002e-01,3.510437844594727075e+00,6.443313486084596420e-01,1.507462330421254493e-01,5.349403703205261706e+00,5.209788990112221185e+00,1.664142984033932748e+01,1.042595604454994174e+01,4.258414875915122622e+01,1.970724043391161917e+00,2.039183480964885575e+01,2.696324304717736542e-01,1.988539202353525770e+00,7.309442403468825455e-01
8.000000000000000000e+00,9.990000000000000000e+02,6.336636551544901907e-01,1.466365468749310708e+01,1.837885952953986490e-01,1.558933325432042105e+00,3.277864334162768234e+00,2.303573472902960617e+01,3.108753502501418811e-02,1.279253272202912051e+01,9.725286190740847658e+00,1.690309215466839765e+00,2.768594856750170408e+01,1.841310424631628750e+00,1.627745814851980999e+00,6.501731650398674678e-02,7.912170187325678894e-01,1.497554707372067695e-01,0.000000000000000000e+00,2.142220621246444523e+00,2.647459721820967782e-01,2.165689092119424657e-03,0.000000000000000000e+00,1.217911440483556429e-01,6.024756908467793215e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.916274081629712356e-01,3.257179876823234288e+00,1.522981427267168897e+00,4.732293360582506381e+00,2.878753855789115135e-01,3.464242808327996137e+00,3.070062454298953455e-02,2.904777518374644929e-01,1.067733738430762663e-01
9.000000000000000000e+00,9.990000000000000000e+02,3.943065831250113784e-01,8.483424216368373294e+00,2.118806078078353805e-01,1.797215654178846211e+00,5.780047509414251161e-01,1.436733567638609621e+01,1.902638623687347152e-02,5.801720143091600335e+00,4.541103412561564134e+00,1.057541813125350671e+00,7.729249249073405714e+00,1.155593163421035241e+00,1.200606733251762037e+00,1.539883811936528304e-02,5.256141325855928637e-01,4.131185399647083201e-02,1.131764365107701259e-01,0.000000000000000000e+00,2.625020343790043231e-01,0.000000000000000000e+00,2.690623544953569812e-01,1.978200984186133660e-01,3.552784047977015636e-01,0.000000000000000000e+00,6.914734171084498726e+00,4.663292036867384693e-01,1.520900296800632434e+00,9.528531979955771058e-01,5.047941871773625522e+00,1.801092100415720154e-01,3.560475252791382023e-02,3.926915898135446142e-02,1.817373802657273052e-01,6.680275209246193391e-02
1.000000000000000000e+01,9.990000000000000000e+02,1.081339383085211242e-01,2.326479217231215646e+00,3.148286160457870048e-02,2.670442203253043378e-01,1.585109981806124280e-01,3.940072664715300377e+00,5.217762430610730154e-03,1.591053446443402963e+00,1.245344149151232038e+00,2.900183919651238562e-01,2.119655611241737514e+00,3.657393400399417960e-01,3.373099281924670789e-01,2.762686553525269765e-03,2.476297585129692488e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.466297288572478152e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.023627213252377731e-03,4.290751678977927468e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.898139454581478369e-01,4.170890010616691845e-01,2.613087717494795292e-01,3.643346568761223758e-01,4.939283045461392851e-02,2.854499297900617849e-01,5.883463738785132263e-03,4.983933697037951083e-02,1.831986830236490699e-02
1.100000000000000000e+01,1.000000000000000000e+00,7.536607821502988580e-02,1.621485515039938541e+00,3.905480488925724362e-03,3.312710277928418434e-02,1.104773623683056177e-01,2.746111251165209488e+00,3.636622300122630252e-03,1.108916038430250772e+00,8.679671342569195147e-01,2.021340307635711986e-01,1.477335729047271728e+00,9.973642574076050163e-03,1.229782603091407467e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.264008275348309182e-04,2.906983946793452733e-01,1.821242954617584842e-01,1.906874039329370940e-01,3.442530607442789714e-02,0.000000000000000000e+00,6.969337918762254572e-03,3.473650758541602795e-02,1.276839305922402613e-02
1.200000000000000000e+01,9.990000000000000000e+02,2.361138403088655302e+00,5.463926789967102593e+01,6.166679356367517073e-01,5.230706475798294619e+00,1.221387923474861559e+01,8.583506008217271699e+01,1.158374355351481366e-01,4.766714965747419086e+01,3.623806812841042557e+01,6.298379225742989362e+00,1.031625466553356318e+02,7.473895734098213950e+00,7.984053178688829355e+00,2.048155349454415797e-01,2.442747746879548210e+00,1.402021045005228839e+00,5.432468952516964628e-02,1.180751523521662155e-01,4.384770532991076331e-01,0.000000000000000000e+00,8.124830579816590126e-02,3.193216083550823314e-01,1.172770744101224449e-01,0.000000000000000000e+00,6.183889238022159951e+00,1.439551439534958233e+00,1.213680543357011032e+01,5.674887467286676923e+00,1.741909149033345017e+01,1.072672580579999702e+00,7.428061738199964736e+00,1.632759903347417441e-01,1.082369439255716603e+00,3.978557257584297568e-01
