# SCC,TOG.AllControlled.ShortTons,TOG.wRules.ShortTons,TOG.Difference.ShortTons,VOC.AllControlled.ShortTons,VOC.wRules.ShortTons,VOC.Difference.ShortTons,ControlledVOC.EF.lb/person/yr,UncontrolledVOC.EF.lb/person/yr,UncontrolledEF.Multiplier
2.401001000000000000e+09,2.340836180202604446e+05,2.782236755310409935e+05,4.414005751078054891e+04,2.258957702692068415e+05,2.684918834677896812e+05,4.259611319858283969e+04,1.508521202627152169e+00,2.021418411520384151e+00,1.340000000000000080e+00
2.401005000000000000e+09,3.512760979730096005e+04,3.512760979730096005e+04,0.000000000000000000e+00,3.375815340863391611e+04,3.375815340863392339e+04,0.000000000000000000e+00,2.254353417851764074e-01,nan,nan
2.401008000000000000e+09,6.674394382902706275e+04,6.674394382902707730e+04,0.000000000000000000e+00,6.161738388930376095e+04,6.161738388930373912e+04,0.000000000000000000e+00,4.114779570093708982e-01,nan,nan
2.401015000000000000e+09,2.498741989497596023e+03,2.498741989497596023e+03,0.000000000000000000e+00,2.467022462055017968e+03,2.467022462055017968e+03,0.000000000000000000e+00,1.647465858671166503e-02,nan,nan
2.401020000000000000e+09,3.010702284338269601e+04,3.010702284338269965e+04,0.000000000000000000e+00,2.972483831160275804e+04,2.972483831160275804e+04,0.000000000000000000e+00,1.985010555278604594e-01,nan,nan
2.401025000000000000e+09,2.946880246815882492e+04,2.946880246815882128e+04,0.000000000000000000e+00,2.880543599671895572e+04,2.880543599671894845e+04,0.000000000000000000e+00,1.923613306268857903e-01,nan,nan
2.401030000000000000e+09,3.748391447932785013e+03,3.748391447932785468e+03,0.000000000000000000e+00,3.748391447932785013e+03,3.748391447932785468e+03,0.000000000000000000e+00,2.503157968922669133e-02,nan,nan
2.401040000000000000e+09,9.055860766946254444e+03,9.055860766946256263e+03,0.000000000000000000e+00,8.970598222729971894e+03,8.970598222729971894e+03,0.000000000000000000e+00,5.990522798683088623e-02,nan,nan
2.401055000000000000e+09,1.333566903893756898e+04,1.333566903893756898e+04,0.000000000000000000e+00,9.322419255174974751e+03,9.322419255174974751e+03,0.000000000000000000e+00,6.225467209701043836e-02,nan,nan
2.401060000000000000e+09,1.492314566152375619e+03,1.492314566152375619e+03,0.000000000000000000e+00,1.478982731024232407e+03,1.478982731024232635e+03,0.000000000000000000e+00,9.876576287420623518e-03,nan,nan
2.401065000000000000e+09,6.012689848694898501e+03,6.012689848694896682e+03,0.000000000000000000e+00,3.802482340624515018e+03,3.802482340624515473e+03,0.000000000000000000e+00,2.539279609623273232e-02,nan,nan
2.401070000000000000e+09,3.303376862673743744e+04,3.303376862673743017e+04,0.000000000000000000e+00,2.219305534626170629e+04,2.219305534626170629e+04,0.000000000000000000e+00,1.482041673512349556e-01,nan,nan
2.401075000000000000e+09,1.970735028723359392e+03,1.970735028723359619e+03,0.000000000000000000e+00,1.704543387317553425e+03,1.704543387317553652e+03,0.000000000000000000e+00,1.138285961486614623e-02,nan,nan
2.401080000000000000e+09,2.385594654906926735e+04,2.385594654906926007e+04,0.000000000000000000e+00,2.160696050558421484e+04,2.160696050558421484e+04,0.000000000000000000e+00,1.442902538996518325e-01,nan,nan
2.401085000000000000e+09,1.971592757345666996e+03,1.971592757345666541e+03,0.000000000000000000e+00,1.945367951192354212e+03,1.945367951192354440e+03,0.000000000000000000e+00,1.299107459067393514e-02,nan,nan
2.401090000000000000e+09,2.878438422841100328e+04,2.878438422841101055e+04,0.000000000000000000e+00,2.012198240641640223e+04,2.012198240641640587e+04,0.000000000000000000e+00,1.343736408291105466e-01,nan,nan
2.401100000000000000e+09,1.113287104797414795e+05,1.323214468563276751e+05,2.099273637658619555e+04,7.040533708812581608e+04,8.368134356144846242e+04,1.327600647332264634e+04,4.701634902193093657e-01,6.300190768938744856e-01,1.339999999999999858e+00
2.401200000000000000e+09,6.952172637553475215e+04,6.952172637553475215e+04,0.000000000000000000e+00,4.396620206347097701e+04,4.396620206347097701e+04,0.000000000000000000e+00,2.936042048626911205e-01,nan,nan
2.415000000000000000e+09,9.280584520485949179e+04,9.280584520485950634e+04,0.000000000000000000e+00,8.785655432569143886e+04,8.785655432569142431e+04,0.000000000000000000e+00,5.867018883626090586e-01,nan,nan
2.420000000000000000e+09,3.839598409559944685e+03,3.839598409559945594e+03,0.000000000000000000e+00,2.457587618110509993e+03,2.457587618110510903e+03,0.000000000000000000e+00,1.641165314789000060e-02,nan,nan
2.425000000000000000e+09,3.867029254324429785e+05,3.867029254324429785e+05,0.000000000000000000e+00,3.867029254324429785e+05,3.867029254324429785e+05,0.000000000000000000e+00,2.582383731389000570e+00,nan,nan
2.460030999000000000e+09,6.595690666397877067e+03,6.595690666397877067e+03,0.000000000000000000e+00,6.580460525246809993e+03,6.580460525246808174e+03,0.000000000000000000e+00,4.394400219869452895e-02,nan,nan
2.460100000000000000e+09,5.814491461372147314e+05,5.814684199801826617e+05,1.927384296793024987e+01,4.491170030163687770e+05,4.491352914694448118e+05,1.828845307603478432e+01,2.999181970973403555e+00,9.548590628435446939e-03,3.183731671118438574e-03
2.460200000000000000e+09,5.126988005119012087e+05,5.388988543386277743e+05,2.620005382672656560e+04,4.847345409005027032e+05,5.094752949848131393e+05,2.474075408431043616e+04,3.237034193790857550e+00,3.490316620521992430e+00,1.078245211995897623e+00
2.460400000000000000e+09,4.456893809753403184e+04,1.187040010371168173e+05,7.413506293958278548e+04,1.847870488853173447e+04,4.921580584784480016e+04,3.073710095931306569e+04,1.233999117744437046e-01,4.380696867992750487e-01,3.549999999999999378e+00
