# Chemical Name,Group,HAP,SPECIATE_ID,O:C,log(C*),SOA Yield,MIR,Emissions [kg/person/year],% of Emissions
Ethanol,oxygenated,FALSE,442.0,0.5,8.0,0.0,1.53,0.693624661002,25.198865081884197
Acetone,oxygenated,FALSE,281.0,0.3333333333333333,8.91,0.0,0.355910256,0.38534703389,13.999369489935667
Fragrance B,oxygenated,FALSE,9093.0,0.1,6.12,0.144,5.43,0.2359509530588,8.571921626145224
Isobutane,b-alkane,FALSE,491.0,0.0,9.83,0.0,1.23,0.1200504220965,4.361342033403035
Propane,n-alkane,FALSE,671.0,0.0,9.98,0.0,0.489,0.0927797089289,3.3706174233460486
Glycerol,oxygenated,FALSE,471.0,1.0,2.86,0.0,3.154051282,0.08951908018060001,3.25216121996967
Isopropyl Alcohol,oxygenated,FALSE,513.0,0.3333333333333333,7.95,0.0,0.614,0.0794407731404,2.886023864079045
Ethylene Glycol Monobutyl Ether,oxygenated,FALSE,310.0,0.3333333333333333,6.82,0.042,2.9,0.0773658275733,2.810642643748622
Terpene,alkene,FALSE,705.0,0.0,7.05,0.13,4.55,0.0699553076908,2.5414239997113977
n-Butane,n-alkane,FALSE,592.0,0.0,9.64,0.0,1.15,0.0566163719023,2.056830440444394
Fragrance A,alkene,FALSE,9091.0,0.0,7.05,0.13,4.551717949,0.053355743154,1.9383742370680153
Ethanolamine,oxygenated,FALSE,439.0,0.5,6.16,0.0,6.81,0.0500951144057,1.8199180336916365
Branched C12 Alkanes,b-alkane,FALSE,3198.0,0.0,6.6,0.069,0.632615385,0.0497986936104,1.8091492879301476
n-Undecane,n-alkane,FALSE,610.0,0.0,6.53,0.107,0.611,0.042684594523199997,1.5506993896544121
C11 Cycloalkanes,c-alkane,FALSE,3227.0,0.0,5.96,0.257,0.898,0.0409060697514,1.4860869150854783
n-Dodecane,n-alkane,FALSE,599.0,0.0,6.15,0.15,0.555,0.0349776538454,1.2707119998556988
C12 Cycloalkanes,c-alkane,FALSE,3228.0,0.0,5.41,0.321,0.796451282,0.034384812254799994,1.2491745083327208
Propylene Glycol,oxygenated,FALSE,680.0,0.6666666666666666,5.45,0.0,2.58,0.033791970664200005,1.2276370168097432
n-Heptane,n-alkane,FALSE,600.0,0.0,8.36,0.0,1.07,0.0334955498689,1.2168682710482541
Methanol,oxygenated,TRUE,531.0,1.0,8.19,0.0,0.672,0.0317170250971,1.15225579647932
Diethylene Glycol Monoethyl Ether,oxygenated,FALSE,9013.0,0.5,6.01,0.008,3.260769231,0.0317170250971,1.15225579647932
Dimethylpolysiloxane,oxygenated,FALSE,9018.0,0.3,6.8,0.144,-0.0695,0.029227090416580004,1.0617983320828128
C13 Branched Alkanes,b-alkane,FALSE,1934.0,0.0,6.16,0.11,0.598,0.023802589862590002,0.8647302846475647
"1,1,1,2-Tetrafluoroethane (HFC-134a)",halocarbon,FALSE,3186.0,0.0,10.3,0.0,0.000727,0.02291332747669,0.8324240473630976
Dl-Limonene (Dipentene),alkene,FALSE,435.0,0.0,7.0,0.13,4.55,0.018585583865310003,0.6752003592453587
C14-Alkane,n-alkane,FALSE,9068.0,0.0,5.09,0.257,0.513,0.01754811108176,0.6375097490801472
