# Chemical Name,Group,HAP,SPECIATE_ID,O:C,log(C*),SOA Yield,MIR,Emissions [kg/person/year],% of Emissions
Acetone,oxygenated,FALSE,281.0,0.3333333333333333,8.91,0.0,1.79,0.090835947,31.10371378342574
Propane,n-alkane,FALSE,671.0,0.0,9.98,0.0,0.259,0.060459939,20.702471875141892
n-Butane,n-alkane,FALSE,592.0,0.0,9.64,0.0,0.673,0.032420547,11.101325498264494
Toluene,aromatic,TRUE,717.0,0.0,8.07,0.332,4.0,0.0252938682,8.66103412747482
N-Butyl Acetate,oxygenated,FALSE,593.0,0.3333333333333333,7.99,0.0179,1.82,0.0066301479,2.270271070365802
o-Xylene,aromatic,TRUE,620.0,0.0,7.53,0.353,7.74,0.0065425247999999995,2.2402674879380595
m-Xylene,aromatic,TRUE,524.0,0.0,7.7,0.353,7.74,0.0053742168,1.8402197222348347
Dimethyl Ether,oxygenated,FALSE,417.0,0.5,9.77,0.0,3.32,0.0037093779,1.2701516561077393
Branched C9 Alkanes,b-alkane,FALSE,3204.0,0.0,7.57,0.0,1.1,0.0036509625000000004,1.2501492678225783
n-Octane,n-alkane,FALSE,604.0,0.0,7.87,0.0154,1.22,0.0034465086000000002,1.1801409088245138
Methyl Ethyl Ketone (2-Butanone),oxygenated,FALSE,536.0,0.25,8.54,0.0,2.08,0.0033588855000000004,1.150137326396772
C8 Cycloalkanes,c-alkane,FALSE,3258.0,0.0,7.67,0.107,1.22,0.0032712623999999997,1.1201337439690298
n-Nonane,n-alkane,FALSE,603.0,0.0,7.51,0.0392,1.1,0.00264037608,0.9041079504892885
C9 Cycloalkanes,c-alkane,FALSE,2170.0,0.0,7.1,0.15,1.1,0.0025118622,0.8601026962619338
Branched C8 Alkanes,b-alkane,FALSE,3203.0,0.0,7.99,0.0,1.22,0.00212924133,0.7290870529941276
p-Xylene,aromatic,TRUE,648.0,0.0,7.7,0.353,7.74,0.0020357766900000003,0.6970832317378696
Ethylbenzene,aromatic,TRUE,449.0,0.0,7.58,0.353,7.74,0.00167068044,0.5720683049556118
Isobutane,b-alkane,FALSE,491.0,0.0,9.83,0.0,0.673,0.00152172117,0.5210622148284505
"Hydrocarbon Propellant (LPG, Sweetened)",n-alkane,FALSE,483.0,0.0,9.98,0.0,0.259,0.0014866719300000001,0.5090607818573538
Branched C12 Alkanes,b-alkane,FALSE,3198.0,0.0,6.6,0.068,0.822,0.00147206808,0.5040601847860635
Isopropyl Alcohol,oxygenated,FALSE,513.0,0.3333333333333333,7.95,0.0,2.74,0.0014399396100000003,0.4930588712292248
"1,1-Difluoroethane (HFC-152a)",halocarbon,FALSE,478.0,0.0,10.1,0.0,0.809,0.0013786034400000001,0.4720563635298055
Isobutyl Acetate,oxygenated,FALSE,492.0,0.3333333333333333,8.04,0.0185,1.89,0.0013698411299999998,0.46905600528703123
Ethyl-3-Ethoxypropionate,oxygenated,FALSE,448.0,0.42857142857142855,6.9,0.0207,3.02,0.0013698411299999998,0.46905600528703123
