# Chemical Name,Group,HAP,SPECIATE_ID,O:C,log(C*),SOA Yield,MIR,Emissions [kg/person/year],% of Emissions
Ethanol,oxygenated,FALSE,442.0,0.5,8.0,0.0,3.44,1.3708490831099969,17.511013385393202
Acetone,oxygenated,FALSE,281.0,0.3333333333333333,8.91,0.0,1.79,0.8132090997485073,10.387806802564743
Isopropyl Alcohol,oxygenated,FALSE,513.0,0.3333333333333333,7.95,0.0,2.74,0.5528819089530657,7.062427678949714
Propane,n-alkane,FALSE,671.0,0.0,9.98,0.0,0.259,0.34293176190377955,4.380557091922941
Isobutane,b-alkane,FALSE,491.0,0.0,9.83,0.0,0.673,0.31560602954637046,4.03150242866949
Ethylene Glycol,oxygenated,TRUE,455.0,1.0,5.31,0.0,4.2,0.2298920905522164,2.936605877667476
n-Butane,n-alkane,FALSE,592.0,0.0,9.64,0.0,0.673,0.18194883238863188,2.3241861403049455
"2,2,4-Trimethyl-1,3-Pentanediol Isobutyrate (Texanol)",oxygenated,FALSE,115.0,0.25,4.19,0.165,0.639,0.17922459097000001,2.2893871033179707
Toluene,aromatic,TRUE,717.0,0.0,8.07,0.332,4.0,0.1611871171463544,2.0589792127221873
Propylene Glycol,oxygenated,FALSE,680.0,0.6666666666666666,5.45,0.0,3.74,0.1535110665134664,1.9609265335209773
Isomers of xylene,aromatic,TRUE,507.0,0.0,7.68,0.353,7.74,0.15027774115709241,1.9196245373403715
Decamethylcyclopentasiloxane,oxygenated,FALSE,3259.0,0.5,6.6,0.145,0.0,0.1456235389397705,1.860172480706278
"1,1-Difluoroethane (HFC-152a)",halocarbon,FALSE,478.0,0.0,10.1,0.0,0.809,0.1178894273389,1.5059012443911544
"Alkanes, C14-16",n-alkane,FALSE,3281.0,0.0,4.59,0.321,0.613,0.11729202359999999,1.4982701017677598
Branched C12 Alkanes,b-alkane,FALSE,3198.0,0.0,6.6,0.068,0.822,0.10135670239869998,1.2947147824444627
Ethylene Glycol Monobutyl Ether,oxygenated,FALSE,310.0,0.3333333333333333,6.82,0.0222,2.24,0.0904113932988337,1.1549011030858243
Dimethyl Ether,oxygenated,FALSE,417.0,0.5,9.77,0.0,3.32,0.09008623124706278,1.150747533512677
Methylene Chloride (Dichloromethane),halocarbon,TRUE,401.0,0.0,9.22,0.0,0.809,0.08777156814516332,1.1211803863632013
n-Undecane,n-alkane,FALSE,610.0,0.0,6.53,0.107,0.907,0.08532403431709999,1.0899159691837497
Glycerol,oxygenated,FALSE,471.0,1.0,2.86,0.0,3.39,0.08199749968179335,1.0474233321432982
C11 Cycloalkanes,c-alkane,FALSE,3227.0,0.0,5.96,0.257,0.907,0.08165567790439998,1.0430569538212042
