# Chemical Name,Group,HAP,SPECIATE_ID,O:C,log(C*),SOA Yield,MIR,Emissions [kg/person/year],% of Emissions
Acetone,oxygenated,FALSE,281.0,0.3333333333333333,8.91,0.0,1.79,0.35087811667200003,42.417243245638005
Methylene Chloride (Dichloromethane),halocarbon,TRUE,401.0,0.0,9.22,0.0,0.809,0.08358181552800001,10.104107471248676
Isopropyl Alcohol,oxygenated,FALSE,513.0,0.3333333333333333,7.95,0.0,2.74,0.0646310870568,7.813176173312093
Methanol,oxygenated,TRUE,531.0,1.0,8.19,0.0,3.92,0.0559418884128,6.76274915897436
Branched C12 Alkanes,b-alkane,FALSE,3198.0,0.0,6.6,0.068,0.822,0.028136452752000003,3.4013827130936134
Ethanol,oxygenated,FALSE,442.0,0.5,8.0,0.0,3.44,0.026398613023199995,3.1912973102260658
C11 Cycloalkanes,c-alkane,FALSE,3227.0,0.0,5.96,0.257,0.907,0.023915984839199995,2.8911753061295706
n-Undecane,n-alkane,FALSE,610.0,0.0,6.53,0.107,0.907,0.023419459202400003,2.8311509053102726
C12 Cycloalkanes,c-alkane,FALSE,3228.0,0.0,5.41,0.321,0.822,0.0201920425632,2.4409922999848286
n-Dodecane,n-alkane,FALSE,599.0,0.0,6.15,0.15,0.822,0.0197782711992,2.390971965968746
C13 Branched Alkanes,b-alkane,FALSE,1934.0,0.0,6.16,0.111,0.745,0.013406192193599998,1.6206588221210743
Branched C11 alkanes,b-alkane,FALSE,3197.0,0.0,6.8,0.034,0.907,0.0096822499176,1.1704758159763315
Parachlorobenzotrifluoride,halocarbon,FALSE,652.0,0.0,7.8,0.0,0.809,0.0093512328264,1.1304595487634654
Toluene,aromatic,TRUE,717.0,0.0,8.07,0.332,4.0,0.007580291388480001,0.9163725191746322
Ethylene Glycol Monobutyl Ether,oxygenated,FALSE,310.0,0.3333333333333333,6.82,0.0222,2.24,0.00523007004096,0.6322570219632834
C10 Cycloalkanes,c-alkane,FALSE,3226.0,0.0,6.78,0.2,1.0,0.004899052949759999,0.5922407547504173
n-Decane,n-alkane,FALSE,598.0,0.0,7.0,0.0696,1.0,0.0047997478224,0.5802358745865575
Isomers of xylene,aromatic,TRUE,507.0,0.0,7.68,0.353,7.74,0.00451838329488,0.5462220474556214
N-Methylpyrrolidinone,oxygenated,FALSE,85.0,0.2,6.58,0.0275,2.16,0.0045101078676,0.5452216407752998
N-Butyl Acetate,oxygenated,FALSE,593.0,0.3333333333333333,7.99,0.0179,1.82,0.00432804846744,0.5232126938082234
Branched C6 Alkanes,b-alkane,FALSE,3201.0,0.0,8.81,0.0,1.48,0.003955654239840001,0.4781943931937492
n-Hexane,n-alkane,TRUE,601.0,0.0,8.79,0.0,1.48,0.0039142771034399995,0.47319235979214086
C6 Cycloalkanes,c-alkane,FALSE,3234.0,0.0,8.6,0.0392,1.48,0.0038646245397600002,0.467189919710211
C13 Cycloalkanes,c-alkane,FALSE,3229.0,0.0,5.41,0.321,0.822,0.0034343023212,0.41516877233348515
n-Tridecane,n-alkane,FALSE,609.0,0.0,5.79,0.2,0.745,0.0033515480483999995,0.40516470553026857
Alkyl (C16-C18) Methyl Esters,b-alkane,FALSE,3129.0,0.0,3.93,0.373,0.504,0.0027805435660800005,0.3361366445880748
Methyl Ethyl Ketone (2-Butanone),oxygenated,FALSE,536.0,0.25,8.54,0.0,2.08,0.00233367049296,0.28211468385070554
"Pentanedioic Acid, Dimethyl Ester",oxygenated,FALSE,656.0,0.5714285714285714,6.06,0.0444,2.08,0.00225919164744,0.2731110237278107
n-Pentane,n-alkane,FALSE,605.0,0.0,9.11,0.0,1.75,0.00193644998352,0.23409516319526633
Cyclopentane,c-alkane,FALSE,390.0,0.0,9.0,0.0154,1.75,0.00191162370168,0.23109394315430137
Branched C7 Alkanes,b-alkane,FALSE,3202.0,0.0,8.51,0.0,1.34,0.0018950728471200003,0.22909312979365806
Ethyl Acetate,oxygenated,FALSE,440.0,0.5,8.63,0.0,2.03,0.00179576771976,0.21708824962979825
Propane,n-alkane,FALSE,671.0,0.0,9.98,0.0,0.259,0.0015723311832000003,0.1900772692611137
Dimethyl Adipate,oxygenated,FALSE,3164.0,0.5,5.84,0.0537,2.56,0.00152267861952,0.18407482917918375
n-Butane,n-alkane,FALSE,592.0,0.0,9.64,0.0,0.673,0.00127441580112,0.15406262876953425
Branched C9 Alkanes,b-alkane,FALSE,3204.0,0.0,7.57,0.0,1.1,0.0012164878101599999,0.14705978200728267
Methyl Acetate,oxygenated,FALSE,2160.0,0.6666666666666666,8.91,0.0,1.77,0.00120821238288,0.14605937532696103
n-Octane,n-alkane,FALSE,604.0,0.0,7.87,0.0154,1.22,0.0011585598192,0.14005693524503113
C8 Cycloalkanes,c-alkane,FALSE,3258.0,0.0,7.67,0.107,1.22,0.00114200896464,0.13805612188438782
Propylene Glycol Monomethyl Ether Acetate,oxygenated,FALSE,684.0,0.5,7.44,0.0153,2.85,0.00103442841,0.12505083504020637
Ethyl Benzene,aromatic,TRUE,449.0,0.0,7.58,0.353,7.74,0.0009102970008000001,0.11004473483538162
n-Nonane,n-alkane,FALSE,603.0,0.0,7.51,0.0392,1.1,0.00088547071896,0.10704351479441665
C9 Cycloalkanes,c-alkane,FALSE,2170.0,0.0,7.1,0.15,1.1,0.00087719529168,0.106043108114095
Sec-Butyl Alcohol,oxygenated,FALSE,692.0,0.25,7.72,0.0,2.53,0.0008440935825600001,0.10204148139280841
n-Heptane,n-alkane,FALSE,600.0,0.0,8.36,0.0,1.34,0.000781200335232,0.09443839062236385
C7 Cycloalkanes,c-alkane,FALSE,550.0,0.0,8.27,0.0696,1.34,0.000775407536136,0.09373810594613868
Methyl Isobutyl Ketone (Hexone),oxygenated,TRUE,539.0,0.16666666666666666,7.94,0.0173,3.28,0.0007588566815759999,0.09173729258549537
Dl-Limonene (Dipentene),alkene,FALSE,435.0,0.0,7.0,0.595,5.62,0.000725754972456,0.08773566586420878
Branched C8 Alkanes,b-alkane,FALSE,3203.0,0.0,7.99,0.0,1.22,0.0007092041178960001,0.0857348525035655
Turpentine,alkene,FALSE,761.0,0.0,7.54,0.14,2.53,0.0006206570460000001,0.07503050102412383
C5 Branched Alkanes,b-alkane,FALSE,3200.0,0.0,9.33,0.019,1.75,0.000565211683224,0.06832777626596875
Ethyl Lactate,oxygenated,FALSE,3168.0,0.6,7.01,0.019,2.02,0.0004899052949759999,0.059224075475041715
C10 Trialkylbenzenes,aromatic,FALSE,3206.0,0.0,6.84,0.0829,9.24,0.0004890777522480001,0.059124034807009576
C12 Trisubstituted Benzenes,aromatic,FALSE,3211.0,0.0,6.55,0.264,4.42,0.000461768842224,0.05582269276194812
"1,2,4-Trimethylbenzene",aromatic,FALSE,30.0,0.0,7.08,0.0651,10.5,0.00044108027402400005,0.053321676061144005
C11 Trialkyl Benzenes,aromatic,FALSE,3257.0,0.0,6.77,0.0897,8.18,0.00043363238947200005,0.052421310048854516
Dibasic Ester,oxygenated,FALSE,3289.0,0.5714285714285714,6.19,0.0396,1.98,0.000410461193088,0.049620171343953884
