# Chemical Name,Group,HAP,SPECIATE_ID,O:C,log(C*),SOA Yield,MIR,Emissions [kg/person/year],% of Emissions
Ethanol,oxygenated,FALSE,442.0,0.5,8.0,0.0,3.44,0.4096510937999999,33.978834155120516
Isobutane,b-alkane,FALSE,491.0,0.0,9.83,0.0,0.673,0.07088501861999999,5.879613964725633
Diethyl Phthalate,oxygenated,FALSE,2355.0,0.3333333333333333,4.39,0.148,1.55,0.055785251339999994,4.627151818393545
Propane,n-alkane,FALSE,671.0,0.0,9.98,0.0,0.259,0.05298899813999999,4.395214383887603
Glycerol,oxygenated,FALSE,471.0,1.0,2.86,0.0,3.39,0.050332557599999994,4.174873821106958
Terpene,alkene,FALSE,705.0,0.0,7.05,0.595,5.6,0.04292248662,3.560239619666212
Isopropyl Alcohol,oxygenated,FALSE,513.0,0.3333333333333333,7.95,0.0,2.74,0.04208361065999999,3.4906583893144285
Ethylene Glycol Monobutyl Ether,oxygenated,FALSE,310.0,0.3333333333333333,6.82,0.0222,2.24,0.03970679544,3.293511569984378
Acetone,oxygenated,FALSE,281.0,0.3333333333333333,8.91,0.0,1.79,0.034953164999999994,2.8992179313242765
n-Butane,n-alkane,FALSE,592.0,0.0,9.64,0.0,0.673,0.0328559751,2.72526485544482
Ethanolamine,oxygenated,FALSE,439.0,0.5,6.16,0.0,4.66,0.03047915988,2.528118036114769
Branched C12 Alkanes,b-alkane,FALSE,3198.0,0.0,6.6,0.068,0.822,0.021810774959999998,1.8091119891463485
Propylene Glycol,oxygenated,FALSE,680.0,0.6666666666666666,5.45,0.0,3.74,0.019713585059999997,1.635158913266892
Diethylene Glycol Monoethyl Ether,oxygenated,FALSE,331.0,0.5,6.01,0.0466,3.39,0.019433959739999996,1.6119651698162978
n-Undecane,n-alkane,FALSE,610.0,0.0,6.53,0.107,0.907,0.018595083779999997,1.542383939464515
C11 Cycloalkanes,c-alkane,FALSE,3227.0,0.0,5.96,0.257,0.907,0.01789602048,1.4843995808380297
d-Limonene,alkene,FALSE,392.0,0.0,7.0,0.595,5.62,0.016497893879999996,1.3684308635850584
n-Dodecane,n-alkane,FALSE,599.0,0.0,6.15,0.15,0.822,0.01523957994,1.2640590180573845
C12 Cycloalkanes,c-alkane,FALSE,3228.0,0.0,5.41,0.321,0.822,0.015099767279999999,1.2524621463320875
C14-Alkane,n-alkane,FALSE,3284.0,0.0,5.09,0.257,0.676,0.010807518617999999,0.8964381843654664
C13 Branched Alkanes,b-alkane,FALSE,1934.0,0.0,6.16,0.111,0.745,0.010402061903999999,0.8628072563621048
Dl-Limonene (Dipentene),alkene,FALSE,435.0,0.0,7.0,0.595,5.62,0.010234286712,0.8488910102917482
Benzyl Alcohol,oxygenated,FALSE,306.0,0.14285714285714285,5.92,0.0504,2.42,0.009912717594,0.822218205323565
Ethylene Glycol Monohexyl Ether,oxygenated,TRUE,3098.0,0.25,6.3,0.0358,2.61,0.009213654294,0.7642338466970794
