# sub-PUC,totaluse.kg/person/yr,water.kg/person/yr,inorganic.kg/person/yr,organic.kg/person/yr,nonvolatile.kg/person/yr,volatile.kg/person/yr,volatile.emission.kg/person/yr,volatile.emission.kgC/person/yr,VOC.emission.kg/person/yr,%volatile.emitted,%organic.emitted,%product.emitted,SOAYield.%,MIR.gO3/g
CP_House_Detergents_Soaps,10.7,7.2526526,1.4878671,1.9594802999999996,1.6467727999999997,0.31270749999999997,0.04590466672295001,0.02343072323289716,0.04590466672295001,0.1468,0.0234,0.0043,0.5157923032183253,3.452334563554437
CP_House_General_Cleaners,21.0,15.414147,1.873641,3.712212,2.4574830000000003,1.254729,1.0819547113407904,0.691045258381775,1.0372370857329603,0.8623,0.2915,0.0515,7.180015418620799,2.6657014311826948
CP_Industrial_Detergents_Soaps,12.9,8.743852200000001,1.7937837,2.3623640999999997,1.9853615999999998,0.3770025,0.05534300941365001,0.028248255112558268,0.05534300941365001,0.1468,0.0234,0.0043,0.5157923032183254,3.4523345635544374
CP_Industrial_General_Cleaners,5.39,3.9562977299999997,0.4809011899999999,0.95280108,0.63075397,0.32204710999999997,0.277701709244136,0.1773682829846557,0.2662241853381263,0.8623,0.2915,0.0515,7.180015418620804,2.6657014311826965
CP_Auto_Aftermarket,0.572,0.41686845199999994,0.030562531999999996,0.12456901599999999,0.040073748,0.08449526799999998,0.0795277438769299,0.05040845089925684,0.032972957675961166,0.9412,0.6384,0.139,3.7175271002381787,1.8192729527872138
PCP_Daily_Use_Products,9.74,4.75153238,1.0386248999999999,3.94984272,1.6449301600000001,2.30491256,2.142730706789685,1.1029496538981345,1.6843829864352733,0.9296,0.5425,0.22,2.6527248269226638,2.4616756747508752
PCP_Short_Use_Products,2.48,1.7904112,0.1444848,0.5451288,0.43814159999999996,0.10698719999999999,0.03548818489651199,0.019192912967296714,0.03540038050147199,0.3317,0.0651,0.0143,0.03446019800246582,3.2560542930681544
AS_Adhesives_Sealants,16.9,2.162693,8.993335,5.743971999999999,4.89593,0.848042,0.8481851325287602,0.5743449730945952,0.74033446681298,1.0002,0.1477,0.0502,8.196496225167115,2.3238072318154135
COAT_Architectural,12.7,5.782818,6.294628,0.6394449999999999,0.0,0.6394449999999999,0.6386533670899996,0.3585247840151083,0.6163143560149998,0.9988,0.9988,0.0503,7.036978769716915,2.539548283775315
COAT_Aerosol,0.195,0.024667500000000002,0.024667500000000002,0.14566500000000002,0.0,0.14566500000000002,0.1456540343388,0.10961143366446711,0.09913488091064998,0.9999,0.9999,0.7469,5.888105594289137,1.9225726976126762
COAT_Allied,2.05,0.10526749999999999,0.071586,1.8731464999999998,0.011356999999999976,1.8617895,1.2469025625818766,0.7922006993832725,0.5760959063999498,0.6697,0.6657,0.6082,3.9827646611969274,1.862486093400871
COAT_Auto_Refinishing,0.15,0.0262367034,0.10243224855000001,0.0213310479,0.0,0.0213310479,0.021339153698202003,0.016521026974116903,0.020507242830102,1.0004,1.0004,0.1423,15.940983226373975,4.052966842599812
COAT_Traffic_Markings,0.954,0.16686543362399997,0.651469100778,0.135665464644,0.0,0.135665464644,0.1358255498922799,0.11206333001936522,0.1253928756611563,1.0012,1.0012,0.1424,10.061254419784653,2.283206316546475
COAT_Factory_Finished_Wood,0.0335,0.005859530426,0.0228765355095,0.004763934031,0.0,0.004763934031,0.004766111148852167,0.0035870560052156473,0.004705609186658467,1.0005,1.0005,0.1423,15.720755404780022,3.936035232898566
COAT_Wood_Furniture,0.404,0.070664187824,0.275884189428,0.05745162234400001,0.0,0.05745162234400001,0.05747787773541122,0.043258824659914076,0.05674824213164242,1.0005,1.0005,0.1423,15.720755404780013,3.9360352328985644
COAT_Metal_Furniture,0.396,0.069264896976,0.27042113617200003,0.05631396645600001,0.0,0.05631396645600001,0.05628693575210112,0.04334608876849779,0.055019871506841116,0.9995,0.9995,0.1421,15.484878741796068,3.991712141828078
COAT_Paper,0.109,0.019065337804,0.074434100613,0.015500561474,0.0,0.015500561474,0.0071953606362308,0.005886299387148226,0.0071953606362308,0.4642,0.4642,0.066,10.981542438604048,4.650738905644118
COAT_Metal_Cans,0.122,0.021339185432,0.083311562154,0.017349252292,0.0,0.017349252292,0.0173397102032394,0.01275813387952052,0.01717645373917168,0.9994,0.9994,0.1421,11.790277152433838,3.4867047676221925
COAT_Machinery_Equipment,0.179,0.031309132723999995,0.122235816603,0.025455050494,0.0,0.025455050494,0.025460039683896825,0.019400182859744267,0.017798069485202822,1.0002,1.0002,0.1422,8.514982223484198,2.396086370071466
COAT_Large_Appliances,0.0201,0.0035157182555999996,0.0137259213057,0.0028583604186,0.0,0.0028583604186,0.0028571884908283737,0.0022019660804917683,0.002831663332290276,0.9996,0.9996,0.1421,15.849518102421994,4.121024289958884
COAT_Electronics,0.0805,0.014080364158,0.0549719733885,0.011447662373000001,0.0,0.011447662373000001,0.011454187540552609,0.00813188542216078,0.007243737319763211,1.0006,1.0006,0.1423,4.002094805960603,1.7836804221593696
COAT_Motor_Vehicles,0.444,0.077660642064,0.303199455708,0.063139901784,0.0,0.063139901784,0.06310706903507232,0.04790938718435717,0.04239718124992033,0.9995,0.9995,0.1421,9.834920478648897,2.457120307559931
COAT_Aircraft,0.0265,0.004635150934,0.0180963639105,0.003768485129,0.0,0.003768485129,0.003766468989455985,0.002737981248865241,0.003257723497040985,0.9995,0.9995,0.1421,11.28589417338276,3.2862931508356974
COAT_Railroad,0.0265,0.004635150934,0.0180963639105,0.003768485129,0.0,0.003768485129,0.0037681082804871,0.003028132638467685,0.0037179874282713995,0.9999,0.9999,0.1422,17.289463746374636,3.7289822582258223
COAT_Marine,0.34,0.05946986104,0.23217976338000001,0.04835037524000001,0.0,0.04835037524000001,0.048363913345067205,0.037026076114624086,0.0438044729599352,1.0003,1.0003,0.1422,15.121506478186106,3.7997170992122205
COAT_Misc_Manufacturing,0.386,0.067515783416,0.263592319602,0.054891896596,0.0,0.054891896596,0.05490265540773281,0.0418350311947558,0.03838019453233682,1.0002,1.0002,0.1422,8.514982223484198,2.3960863700714663
COAT_Industrial_Maintenance,1.59,0.27810905604,1.08578183463,0.22610910774,0.0,0.22610910774,0.22623798993141178,0.16061736423895207,0.1430750601046398,1.0006,1.0006,0.1423,4.002094805960603,1.7836804221593696
COAT_Other_Special_Purpose,0.989,0.172987331084,0.675369958773,0.140642709154,0.0,0.140642709154,0.14072287549821777,0.09990602090083245,0.08899448707137661,1.0006,1.0006,0.1423,4.002094805960603,1.7836804221593692
PI_Printing_Inks,2.66,0.21280000000000002,1.7822000000000002,0.665,0.0,0.665,0.6643483,0.4896580299775519,0.6643483,0.999,0.999,0.2498,6.028610037837081,2.352872715260956
PEST_FIFRA,0.833,0.6231673,0.041133539999999996,0.16870749,0.12598291999999997,0.04272457,0.04142564950519169,0.032124268651601305,0.040877322373811684,0.9696,0.2455,0.0497,13.418517243969436,1.35572834070242
PEST_Agricultural,9.95,7.443594999999999,0.49133099999999996,2.0151735,1.5048379999999997,0.5103354999999999,0.4948201831652549,0.38371725460196016,0.4882705373582549,0.9696,0.2455,0.0497,13.418517243969436,1.35572834070242
DC_Dry_Cleaning,0.0257,0.0,0.0,0.0257,0.0,0.0257,0.008864701,0.006600627373821495,0.006919211000000001,0.3449,0.3449,0.3449,3.4793639289131124,1.4391975183370542
MISC_All,0.18,0.0487494,0.0263196,0.104931,0.08779499999999998,0.017136000000000002,0.017146768776480005,0.009319269967986533,0.016757284632480003,1.0006,0.1634,0.0953,2.440501548012182,2.9360021384361414
FL_Fuels_Lighter,2.8,0.0,2.599856,0.200144,0.0,0.200144,0.019978821001552,0.016955979788447467,0.019932687809552,0.0998,0.0998,0.0071,15.246161825492322,0.9262267015505452
