# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All emissions reported in kg/year
1.000000000000000000e+00,1.000000000000000000e+00,1.622586250826876267e+03,8.124654278741629969e+04,3.899444729047137344e+02,9.305885516404303416e+03,2.373274365354247857e+04,7.928339747712142707e+04,2.183953539632031209e+02,5.089777776896324940e+04,5.090243937661896052e+04,1.414142632288005188e+04,1.576770796982931788e+05,3.523584329757880823e+03,1.459926512784032093e+04,0.000000000000000000e+00,4.401003947295676880e+03,1.287796701870653806e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.864410075500068615e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.350994480310722793e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.366942423492310809e+03,2.160412982378181187e+04,1.005932821237448843e+04,3.589573169080897969e+03,7.103854444756526391e+03,2.317646257870747286e+04,1.098175409620373330e+03,8.302852828488513524e+02,9.674255861393407940e+02
1.000000000000000000e+00,3.000000000000000000e+00,5.229823453078361126e+03,2.618690222073748300e+05,1.625327789777555836e+03,3.878786696380827925e+04,7.649396714778152818e+04,2.555415290584905306e+05,7.039189094681753431e+02,1.640506886768236582e+05,1.640657136932346621e+05,4.557980385060512344e+04,5.082153808457383420e+05,1.848526548380672830e+04,6.806981697615675512e+04,7.307429105361695747e+02,1.077952566824287787e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.249400417300119443e+03,0.000000000000000000e+00,4.136773387429270770e+02,4.987197056165718436e+02,1.759203522928946995e+03,0.000000000000000000e+00,1.379865186113377831e+03,5.765628980301783486e+03,6.963314571301575052e+04,3.242262812252933873e+04,1.310194206714527973e+05,2.289672093764500096e+04,7.774256452230810828e+04,6.589052457722240206e+02,2.676126118273156862e+03,3.118148583424321259e+03
1.000000000000000000e+00,5.000000000000000000e+00,9.487436136033180674e+02,4.750572646454300411e+04,6.059494522701970709e+02,1.446076716910476898e+04,1.387679019411677837e+04,4.635785430996975629e+04,1.276981098586497581e+02,2.976047749714173187e+04,2.976320318922141450e+04,8.268643903667467384e+03,9.219548255086148856e+04,1.825035986182286933e+03,6.229686083588125257e+03,2.204273944419544478e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.496159116849715474e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.504895511709768016e+03,1.263216681845093262e+04,5.881797281202438171e+03,3.589573169080897969e+03,4.153700016252266323e+03,2.337949022300538127e+04,1.098175409620373330e+03,4.854767253021175861e+02,5.656641340442839692e+02
1.000000000000000000e+00,7.000000000000000000e+00,7.274818521269259008e+02,3.642665244807714771e+04,7.767921002271266673e+01,1.853786591950824459e+03,1.064050696863371559e+04,3.554648192672592995e+04,9.791692522730387793e+01,2.281987143773765274e+04,2.282196145604610501e+04,6.340267586911098078e+03,7.069406259200334898e+04,2.349056219838587083e+02,4.750252315489859029e+03,1.108159578615290229e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065377186000038989e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517270784289943037e+02,9.686149115207961586e+03,4.510070706787735617e+03,0.000000000000000000e+00,3.184992591967285534e+03,8.691166192124794634e+02,1.830292349367288978e+02,3.722560049136379234e+02,4.337424632071011388e+02
1.000000000000000000e+00,9.000000000000000000e+00,1.813675953920124130e+03,9.081483398345499882e+04,1.713587888873129543e+02,4.089416269286868101e+03,2.652771553009603304e+04,8.862049180810472171e+04,2.441154679630018052e+02,5.689193754753948451e+04,5.689714814617945376e+04,1.580684223280600600e+04,1.762464878445797658e+05,2.330986556609059335e+03,1.232510723291534487e+04,2.489343980947390662e+02,2.523242263116188042e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.622282432400132848e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.493598528082859218e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.820724941147931531e+03,2.414841784021892454e+04,1.124400116300536683e+04,0.000000000000000000e+00,7.940465402093554076e+03,8.689536616650999349e+03,1.830292349367288978e+02,9.280668140934474195e+02,1.081357938225998623e+03
1.000000000000000000e+00,1.100000000000000000e+01,3.721220533921141964e+02,1.863298811860167189e+04,3.871056977876045835e+01,9.238139162545635372e+02,5.442839970130609800e+03,1.818276264454644115e+04,5.008653778908171006e+01,1.167283746354322466e+04,1.167390655124938894e+04,3.243178350908441644e+03,3.616147902171599708e+04,3.613932645905518370e+02,2.322915838239134700e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065377186000038989e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517270784289943037e+02,4.954666137272274682e+03,2.306994693333818759e+03,0.000000000000000000e+00,1.629189759024740397e+03,4.872808960959832802e+03,1.830292349367288978e+02,1.904166661078977256e+02,2.218682645898074952e+02
1.000000000000000000e+00,1.300000000000000000e+01,7.006622446752420501e+02,3.508373438547521801e+04,1.945851307545692634e+02,4.643704619039606769e+03,1.024823021402970699e+04,3.423601254693879309e+04,9.430708466592861328e+01,2.197858585477958331e+04,2.198059882172182188e+04,6.106525003061840835e+03,6.808782986971750506e+04,7.408561924106312517e+02,1.273670396479454575e+04,1.854962772899507172e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.859956540994719035e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.103624705739657657e+02,9.329056060269418595e+03,4.343800818979892028e+03,3.589573169080897969e+03,3.067573510235772574e+03,9.018507165423794504e+03,1.830292349367288978e+02,3.585322812301857880e+02,4.177519576510789534e+02
1.000000000000000000e+00,1.500000000000000000e+01,3.788269552550351818e+03,1.896871763425215613e+05,2.170372612262503480e+03,5.179516690467253648e+04,5.540909158781611768e+04,1.851037998949322500e+05,5.098899792942552835e+02,1.188315885928273929e+05,1.188424720983045991e+05,3.301613996870756091e+04,3.681303720228745369e+05,1.179949008888151729e+04,2.791844166385520293e+04,1.654209226048911432e+03,3.233270899946557256e+04,2.266522195292350807e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.629555206600316524e+02,0.000000000000000000e+00,2.482064032457562462e+03,2.830234329374045046e+04,7.715804925126960825e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.920153493993502707e+03,5.043939401006911066e+04,2.348562165285779338e+04,1.389164816434307722e+05,1.658544529457618773e+04,4.635996725142672403e+03,1.537445573468522525e+03,1.938475970287607424e+03,2.258658909788130586e+03
1.000000000000000000e+00,1.700000000000000000e+01,1.190120080668473292e+03,5.959198902796030598e+04,1.091638067761044937e+02,2.605155243837868966e+03,1.740728098555285032e+04,5.815207872805393708e+04,1.601866749110270689e+02,3.733204774376435671e+04,3.733546689813993726e+04,1.037232715831078167e+04,1.156515770514340402e+05,2.403265209527170100e+03,9.444250412713206970e+03,7.066524849140980677e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.584600431289781409e+04,7.378226271473023189e+03,8.435496947340111365e+04,5.210471751835881150e+03,1.985754113069930099e+03,1.830292349367288978e+02,6.089902384531864072e+02,7.095786840484834102e+02
1.000000000000000000e+00,1.900000000000000000e+01,8.347602819336616449e+02,4.179832469848483015e+04,1.246480346876086855e+02,2.974680810339694744e+03,1.220961398704974454e+04,4.078835944587444828e+04,1.123562874728049081e+02,2.618501376956993045e+04,2.618741199334322300e+04,7.275237922308125235e+03,8.111899348114669556e+04,1.662409017116538507e+03,4.874629326479778683e+03,4.015070937011920194e+01,5.868005263060903189e+02,0.000000000000000000e+00,5.034120004132015538e+02,0.000000000000000000e+00,1.065377186000038989e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.613157276953289511e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.062089549002960212e+03,1.111452133496212809e+04,5.175150258019106332e+03,7.179146338161795939e+03,3.654668918893336468e+03,1.615601864109318922e+04,1.830292349367288978e+02,4.271508996474462379e+02,4.977044854311897666e+02
