# fipstate,fipscty,['CP_Detergents_Soaps','CP_General_Cleaners','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Industrial','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','OG_Oil_Gas','Misc_All','FL_Fuels_Lighter']
# All emissions reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,8.628121120962639612e-01,1.133918143057815442e+01,7.525076851324400629e+00,2.191855321828166392e-01,3.323330563787649794e+00,3.671193297376100340e+00,8.968434584463339521e-01,4.670969695211671713e+00,5.543348099423963227e+00,3.230040331462291636e+00,9.745035315486224592e-01,1.304514760012995822e+00,1.003538445562001391e-01,1.052862172217347431e-01,7.658116275015361407e-02,9.109532391537981943e-02
2.000000000000000000e+00,9.990000000000000000e+02,1.259290325532183841e-01,1.654974620174098021e+00,1.098298962764414632e+00,3.199053609757958327e-02,4.850462770342149899e-01,5.358174900109100580e-01,1.308959708498259877e-01,1.216165356420618737e+00,3.067967313785301964e-01,1.829006723052729877e-01,1.422306029634422542e-01,0.000000000000000000e+00,1.111549632027725859e-02,4.330350473191762334e-02,1.117716314099616130e-02,1.329553195876549861e-02
4.000000000000000000e+00,9.990000000000000000e+02,1.102587031650367866e+00,1.449033250647186399e+01,9.616290768432058655e+00,2.800970476909517282e-01,4.246881945846801010e+00,4.691415504743201126e+00,1.146075666811070093e+00,6.667038366710198005e+00,4.079769502165019546e+00,3.214858852733395000e+00,1.245317423248130106e+00,1.076138170726901100e+00,7.783092979006256407e-02,5.063640657261913409e-04,9.786301760632322433e-02,1.164106546314700591e-01
5.000000000000000000e+00,9.990000000000000000e+02,5.248616349294559225e-01,6.897795268491742959e+00,4.577617865794711527e+00,1.333338685926105660e-01,2.021632159153099906e+00,2.233242312189400280e+00,5.455634167354067587e-01,2.027715481181952661e+00,3.513027869326954544e+00,3.822479465668501941e+00,5.928052117516783293e-01,2.930832895838216157e+00,4.960430580099487591e-02,1.111750437638837768e-01,4.658547755917440136e-02,5.541466093758334183e-02
6.000000000000000000e+00,9.990000000000000000e+02,6.759009543336159886e+00,8.882772324172822209e+01,5.894917971059377493e+01,1.717033271804121686e+00,2.603396809269100132e+01,2.875901970373400474e+01,7.025600834218546531e+00,3.302336305960227492e+01,2.522566816790094890e+01,3.058272743558208973e+01,7.633966395938879934e+00,2.415255444268093399e+01,4.470450520082416834e-01,9.287654676651175834e-01,5.999137038195840876e-01,7.136132595559294689e-01
8.000000000000000000e+00,9.990000000000000000e+02,8.741400610515759340e-01,1.148805470975423582e+01,7.623874359219251495e+00,2.220632415769017709e-01,3.366962912546350051e+00,3.719392771739900461e+00,9.086182084478177101e-01,5.416575158957281921e+00,3.122776315905214428e+00,4.190449592954604618e+00,9.872978886367881346e-01,1.761267938585185489e+00,7.372156448377825688e-02,5.759797476512145131e-01,7.758660471186240581e-02,9.229132379173053680e-02
9.000000000000000000e+00,9.990000000000000000e+02,6.626850138857519612e-01,8.709086831800727069e+00,5.779654211848719747e+00,1.683459995539795528e-01,2.552492402383950143e+00,2.819669250282300421e+00,6.888228750867905203e-01,2.348822900901729405e+00,3.456086345057197473e+00,4.219366695295359015e+00,7.484698896576945648e-01,4.325314191024522137e-02,6.352674563649367279e-02,0.000000000000000000e+00,5.881835475996480961e-02,6.996599276651710442e-02
1.000000000000000000e+01,9.990000000000000000e+02,1.595352811206439958e-01,2.096632015063137899e+00,1.391398236185802828e+00,4.052774063336544996e-02,6.144889116850250632e-01,6.788092639568501507e-01,1.658277291875606685e-01,9.371432228767057060e-01,6.860355584742028334e-01,6.903958183855167796e-01,1.801871956583339096e-01,2.276845390155308457e-01,9.610974596118516955e-03,0.000000000000000000e+00,1.415997429406560398e-02,1.684366492527263753e-02
1.100000000000000000e+01,1.000000000000000000e+00,1.070491176276983925e-01,1.406852488213963470e+00,9.336364496063316309e-01,2.719435377410438573e-02,4.123256957697150060e-01,4.554850327379100228e-01,1.112713875140199926e-01,3.950052056821192203e-01,7.314232687082294904e-02,2.808573564845792681e-01,1.209066744831660684e-01,0.000000000000000000e+00,1.684166109132917769e-02,0.000000000000000000e+00,9.501426538148161766e-03,1.130219883151430127e-02
1.200000000000000000e+01,9.990000000000000000e+02,3.360624856742560063e+00,4.416573948890396650e+01,2.930992734213880979e+01,8.537204535785857251e-01,1.294426346508100067e+01,1.429917739459400217e+01,3.493175833773467520e+00,1.831521830155024233e+01,1.066553898859782556e+01,9.692651240841691163e+00,3.795659269489163989e+00,1.512129841182172996e+01,2.718468655621746888e-01,1.425321073895945796e-03,2.982811153069440668e-01,3.548132966507135388e-01
