# fipstate,fipscty,['CP_Detergents_Soaps','CP_General_Cleaners','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Industrial','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','OG_Oil_Gas','Misc_All','FL_Fuels_Lighter']
# All emissions reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,9.783400278814231577e-01,1.285691121864284270e+01,9.023366328615578524e+00,1.859524322284138165e-01,2.938804861828615778e+00,2.554030016185201202e+00,9.066705545071439554e-01,6.774422005646002276e+00,5.230032697434253919e+00,2.501449114593626621e+00,6.105003397549465527e-01,8.099994476017732259e-01,8.488535934038179964e-02,1.372411358465677744e-01,8.161900682100482751e-02,9.510225085107709697e-02
2.000000000000000000e+00,9.990000000000000000e+02,1.436679998926711499e-01,1.888021206267089580e+00,1.325069971366027222e+00,2.730688027892043054e-02,4.315597895836559839e-01,3.750560885112301790e-01,1.331434280673305659e-01,1.473387242504938799e+00,3.517835970948946511e-01,9.407835642763273665e-02,8.965120535477050234e-02,0.000000000000000000e+00,1.241458202016074153e-02,4.768687354333094042e-02,1.198564827056352276e-02,1.396564566069388377e-02
4.000000000000000000e+00,9.990000000000000000e+02,1.303083146379878432e+00,1.712454141306630362e+01,1.201851733685352031e+01,2.476761387243999468e-01,3.914290509242316141e+00,3.401796282061801957e+00,1.207624225961195785e+00,7.841981533987300246e+00,3.525084636865647880e+00,2.196075032079336076e+00,8.131454105139412913e-01,8.447518991490440277e-01,7.566609167984048034e-02,5.552158627295970339e-04,1.087110300935232310e-01,1.266698047050060505e-01
5.000000000000000000e+00,9.990000000000000000e+02,5.960474959781778548e-01,7.832992129005091897e+00,5.497429065753188127e+00,1.132903473660504395e-01,1.790448340189702892e+00,1.556026690533000689e+00,5.523833210232599322e-01,2.684838975231222058e+00,3.021319532588349510e+00,3.085404737985858237e+00,3.719434843044841510e-01,1.956830348661709573e+00,4.476059213598040237e-02,1.767025892013120991e-01,4.972586550019201385e-02,5.794044694708478521e-02
6.000000000000000000e+00,9.990000000000000000e+02,7.604743914204338928e+00,9.993817543903048772e+01,7.013961221823034009e+01,1.445428569842712507e+00,2.284365123690310639e+01,1.985275432749001112e+01,7.047649268227798913e+00,4.475535813353988601e+01,2.186524002212741280e+01,2.233462806090059161e+01,4.745485834229625333e+00,1.403464389409013080e+01,4.833305835444016152e-01,1.098463739084800439e+00,6.344334563817601857e-01,7.392401851869438989e-01
8.000000000000000000e+00,9.990000000000000000e+02,1.021502087935015179e+00,1.342412789005355478e+01,9.421456019583912322e+00,1.941562160031967688e-01,3.068458017497525336e+00,2.666707811016901353e+00,9.466707260295178505e-01,8.587291454903541066e+00,2.946668579806395627e+00,2.550467287360127511e+00,6.374341782735470918e-01,1.563860319627185858e+00,7.291602604246309738e-02,9.249073731056227654e-01,8.521984535722562648e-02,9.929793838862462085e-02
9.000000000000000000e+00,9.990000000000000000e+02,7.316996847180391450e-01,9.615673096295905609e+00,6.748568094510810411e+00,1.390736678010826011e-01,2.197929686577704267e+00,1.910156902861200878e+00,6.780981458078638724e-01,3.497930453502465564e+00,3.567133769955897371e+00,2.783684183876524720e+00,4.565926910772288849e-01,3.608908429908890686e-02,6.864687652920106742e-02,0.000000000000000000e+00,6.104278661402882250e-02,7.112689349366270453e-02
1.000000000000000000e+01,9.990000000000000000e+02,1.833359884181153809e-01,2.409320337611221330e+00,1.690933354017877033e+00,3.484654822431620252e-02,5.507172136031776022e-01,4.786123475708402020e-01,1.699054904664647481e-01,1.103460776940345944e+00,5.529598416835376229e-01,5.114939766939254895e-01,1.144046855171034077e-01,1.729602780852631250e-01,9.559751977549940313e-03,0.000000000000000000e+00,1.529499035385216248e-02,1.782168230234469977e-02
1.100000000000000000e+01,1.000000000000000000e+00,1.216759026272694194e-01,1.599010807024487724e+00,1.122233795491685449e+00,2.312685711748339867e-02,3.654984197904497245e-01,3.176440692398401211e-01,1.127623882916447828e-01,7.697227699635936782e-01,6.881079540830800645e-02,2.520934599420061595e-01,7.592777334767400466e-02,0.000000000000000000e+00,1.079073373904267108e-02,0.000000000000000000e+00,1.015093530210816296e-02,1.182784296299109993e-02
1.200000000000000000e+01,9.990000000000000000e+02,3.843478680962733041e+00,5.050929407323972953e+01,3.544893914813262370e+01,7.305274123259114516e-01,1.154530481432670541e+01,1.003368934929900469e+01,3.561920035563779230e+00,1.864394921246892878e+01,9.306187713303732068e+00,6.718229815314382236e+00,2.398394191894432481e+00,8.073261820981370462e+00,2.315555266671753820e-01,1.213249477816526591e-03,3.206460982253760417e-01,3.736159854863743135e-01
1.300000000000000000e+01,9.990000000000000000e+02,1.977233417693127882e+00,2.598392561414792468e+01,1.823629917673988743e+01,3.758114281591051764e-01,5.939349321594807662e+00,5.161716125147401968e+00,1.832388809739227353e+00,1.025511985982092433e+01,7.530917287183050313e+00,7.321062002132222801e+00,1.233826316899702569e+00,3.047522674145285215e+00,1.444963059182000353e-01,0.000000000000000000e+00,1.649526986592576294e-01,1.922024481486053760e-01
1.500000000000000000e+01,9.990000000000000000e+02,2.774703860588069726e-01,3.646392887640301783e+00,2.559148013367863239e+00,5.273860998074762080e-02,8.334845721572755606e-01,7.243572524895003362e-01,2.571439597866899684e-01,2.515097871854921951e+00,4.283240125565573320e-01,3.562190194832696166e-01,1.731461047624323069e-01,0.000000000000000000e+00,2.629586571358942526e-02,0.000000000000000000e+00,2.314824773284800477e-02,2.697227702709119324e-02
1.600000000000000000e+01,9.990000000000000000e+02,3.185771099193709932e-01,4.186599241364791446e+00,2.938281052385324887e+00,6.055173738530282568e-02,9.569637680324275530e-01,8.316694380435004641e-01,2.952393612365699638e-01,2.246556532334041290e+00,1.118699321855288309e+00,6.777295191194514512e-01,1.987973795420518996e-01,5.453461627417879320e+00,1.694564254650633012e-02,0.000000000000000000e+00,2.657761776734400908e-02,3.096816991999359545e-02
1.700000000000000000e+01,9.990000000000000000e+02,2.630830327076095543e+00,3.457320663836730290e+01,2.426451449711752062e+01,5.000401538915330013e-01,7.902668536009723077e+00,6.867979875456003747e+00,2.438105692792319257e+00,1.359221271959965627e+01,1.099502381029445708e+01,1.584504823159640985e+01,1.641681585895654383e+00,5.988114728145121468e+00,1.538989112878998700e-01,0.000000000000000000e+00,2.194796822077440535e-01,2.557371451457535194e-01
1.800000000000000000e+01,9.990000000000000000e+02,1.327747180696216889e+00,1.744866522530099573e+01,1.224599716026399854e+01,2.523640151671330267e-01,3.988378026767406936e+00,3.466183593394201345e+00,1.230481466831123694e+00,8.155614841748585420e+00,9.432506881908997443e+00,8.202475729828003992e+00,8.285361753817129804e-01,3.421779844654355696e+00,7.561370947722377556e-02,0.000000000000000000e+00,1.107686521142208225e-01,1.290673404407474689e-01
1.900000000000000000e+01,9.990000000000000000e+02,6.227668664875445348e-01,8.184126258926010422e+00,5.743865541114537621e+00,1.183688801790113154e-01,1.870709817508551698e+00,1.625779611143100878e+00,5.771453319656818515e-01,4.268802063421229143e+00,4.103054093655150503e+00,3.935154552838683095e+00,3.886168129112369529e-01,5.373263662308792377e+00,3.239839231843637257e-02,0.000000000000000000e+00,5.195495602261441387e-02,6.053777732747134960e-02
2.000000000000000000e+01,9.990000000000000000e+02,5.816601426269805142e-01,7.643919905201522091e+00,5.364732502097076861e+00,1.105557527744561175e-01,1.747230621633399705e+00,1.518467425589100639e+00,5.390499305158018561e-01,3.340252169655446135e+00,3.144959099575120209e+00,3.743648772278874048e+00,3.629655381316173601e-01,4.116828875599772175e+00,3.640563081861483696e-02,1.433176650108861416e+00,4.852558598811841650e-02,5.654188443456895086e-02
