# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All emissions reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,2.418859717978826679e-02,4.463034875984831729e+00,3.475323185619060701e-02,1.269205846553306039e+00,5.697414568713237149e-01,7.530828532704293643e+00,1.157462310804265558e-02,4.964940699259513757e+00,4.021644079391307081e+00,4.827555718120394301e-01,6.287372341555760080e+00,9.565352373899885241e-02,9.237316922133065322e-01,5.995391658641942983e-02,4.288629372755345948e-01,2.880937640488032137e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.552313908663532110e-02,0.000000000000000000e+00,2.775913459547120141e-02,5.587590514815523601e-01,1.166750991238667441e-02,0.000000000000000000e+00,7.934060489844734221e-01,1.815318552138067421e-01,9.336095496765873802e-01,4.334031520376040447e-01,1.616703325527620638e+00,1.990725599604629137e-01,1.289613883009161022e+00,2.493041543618811778e-02,8.160746376293280535e-02,9.707218963251823540e-02
2.000000000000000000e+00,9.990000000000000000e+02,3.675474725470906628e-03,6.781613569258265750e-01,2.405030032909323979e-03,8.783292994263107445e-02,8.657262383671036898e-02,1.144314807844184267e+00,1.758772299784715524e-03,7.544263074850184880e-01,6.110917081621286551e-01,7.335505608642899078e-02,9.553707459448177453e-01,1.319522033284582611e-02,5.579653374576306474e-02,9.597832257763523351e-04,9.724783158175389318e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.186965642806761357e-04,0.000000000000000000e+00,1.558476167648072813e-02,2.840483646629317349e-03,1.418626420453130699e-01,6.585592043281869590e-02,1.182601897352942993e-01,3.024921855662064674e-02,5.923200455604875000e-03,1.268421575999322069e-03,1.240031276890560079e-02,1.475018897906847821e-02
4.000000000000000000e+00,9.990000000000000000e+02,3.496667846934484875e-02,6.451697233456511249e+00,3.581346392785697552e-02,1.307926065427643003e+00,8.236098267708663601e-01,1.088645438813926702e+01,1.673210404119513522e-02,7.177244871208825927e+00,4.338853066345599530e+00,6.978643173627839813e-01,9.088932501961510368e+00,1.485447593622936380e-01,7.981227793016446581e-01,2.444600411076972013e-02,4.204023759279220673e-01,1.389252151079784503e-01,3.106604489254787688e-02,0.000000000000000000e+00,3.906385483716480478e-02,4.849285934177952756e-02,7.989882490472795251e-02,7.079573674547137707e-02,5.949196569585072508e-02,0.000000000000000000e+00,1.317620759920643501e-02,1.926154991727826171e-01,1.007248423136664295e+00,6.265211889824914282e-01,2.394047743421811258e+00,2.877763495116342773e-01,6.470553559932860077e-01,2.574257025823084924e-02,1.179705430987776221e-01,1.403261221792460600e-01
5.000000000000000000e+00,9.990000000000000000e+02,1.490057321136854275e-02,2.749302798347945220e+00,1.896248137572403847e-02,6.925195425512639114e-01,3.509700966353124230e-01,4.639114085854801672e+00,7.130157972100198763e-03,3.058485030344670008e+00,2.477398816873495502e+00,2.973853625125499889e-01,3.873124645722234582e+00,6.193634633532620060e-02,3.804465067469554040e-01,3.462133305522917953e-02,5.377805086470990176e-02,1.408458402016371167e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.471136147175966802e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.332422227141852711e-02,1.227476442666649084e-02,1.403109952641225788e-01,5.497170482249565809e-02,6.293206673849682797e-02,5.751188191026206376e-01,2.669834612141298580e-01,1.944803242171272428e+00,1.226319671214350648e-01,4.695403988700133091e+00,7.647030796312461257e-03,5.027153825232000967e-02,5.979806342865600505e-02
6.000000000000000000e+00,9.990000000000000000e+02,1.946353783842300067e-01,3.338836189244866404e+01,2.060771716297505607e-01,7.526043970700749597e+00,1.299134532432870026e+00,6.073692508537583024e+01,9.160364424599999611e-02,2.911723804377336577e+01,2.428278562699099652e+01,3.905661094331490002e+00,2.269775776365589337e+01,7.287482139858196817e-01,4.873978144712292959e+00,9.100453069151456797e-02,2.408050805627389934e+00,2.518579706151093500e+00,1.301357688110510724e-01,1.589128184323761683e+00,3.941289322459032296e-01,6.032511702117372698e-02,2.453122206932019100e-01,9.383925930051044695e-01,1.734976751840291154e-01,7.015549763206128941e-02,1.500245830838676797e+00,1.660243498997763911e+00,5.637157368122808876e+00,3.506382790612238676e+00,2.095981588378616678e+01,1.610566501528180483e+00,1.717957519599458038e+01,1.391522346216810535e-01,6.602328690471361838e-01,7.853478996963487724e-01
8.000000000000000000e+00,9.990000000000000000e+02,2.786407190525917732e-02,5.141196232910657749e+00,2.555996055891820648e-02,9.334628650737182287e-01,6.563140807080340977e-01,8.675143340548478577e+00,1.333339540782737219e-02,5.719367006744533022e+00,4.632735787553436069e+00,5.561106278984685458e-01,7.242743087500578270e+00,1.211768949682430346e-01,6.329644687789313107e-01,1.496204443911525531e-02,1.796167449314994280e-01,2.560833458211584160e-02,0.000000000000000000e+00,5.716497724844286088e-01,7.524769853190514668e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.770076178173615428e-02,2.421427375690766645e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.513613126969061695e-01,1.075472191721900561e+00,4.992590724704228378e-01,2.436592567777801310e+00,2.293217785170835465e-01,2.918531872114507042e+00,1.703700059273910092e-02,9.400777653183842175e-02,1.118223786115867258e-01
9.000000000000000000e+00,9.990000000000000000e+02,1.763574367593150408e-02,3.025290658782785247e+00,3.232064176629778629e-02,1.180366409198658317e+00,1.177134589031813700e-01,5.503320369410957369e+00,8.300127156299999878e-03,2.638287812595708104e+00,2.200242250973549751e+00,3.538885813899344535e-01,2.056624244067298157e+00,7.833972358302761230e-02,4.204941893650543383e-01,4.611839737416879685e-03,1.276864028668428519e-01,2.560833458211583900e-03,9.714811289422187884e-03,0.000000000000000000e+00,7.468473339089624907e-02,0.000000000000000000e+00,8.382528144290316008e-02,6.894091761967009735e-02,9.064855017590525699e-02,0.000000000000000000e+00,1.065714339368073249e+00,1.402968611950020650e-01,5.107779645735640583e-01,3.177103188448144877e-01,2.543315178026725576e+00,1.459320408745077013e-01,2.999605131651253767e-02,1.938221170807597274e-02,5.982313052026080880e-02,7.115969548010063483e-02
1.000000000000000000e+01,9.990000000000000000e+02,4.727564901363149989e-03,8.109812774384104195e-01,4.025594588426920431e-03,1.470167784287571278e-01,3.155512049589483808e-02,1.475259830119407756e+00,2.224992069629999538e-03,7.072384976622108077e-01,5.898128387063548139e-01,9.486593064150343479e-02,5.513135578634185130e-01,2.507801283688709110e-02,1.487024260698308065e-01,8.011749808387347597e-04,5.737622063323479654e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.358527643384647227e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.250439860090751332e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.269216102509908572e-02,1.369228325201402863e-01,8.516772412730741482e-02,1.928939070377513609e-01,3.911959751173778310e-02,2.404839279690195175e-01,2.983984570876103623e-03,1.603662070249008142e-02,1.907558223374125964e-02
1.100000000000000000e+01,1.000000000000000000e+00,3.433289034950250552e-03,5.889571450571527977e-01,5.186603494966677153e-04,1.894174189843845710e-02,2.291620558479301462e-02,1.071374693764878261e+00,1.615851085049999991e-03,5.136162548330580613e-01,4.283384774304249687e-01,6.889427564874074650e-02,4.003792295873311313e-01,5.596539089797213703e-04,5.263694550363664376e-02,0.000000000000000000e+00,1.264221810562800525e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.823283421822872454e-04,9.943716677272466942e-02,6.185116851460675108e-02,7.138877307191546229e-02,2.840973904979912298e-02,0.000000000000000000e+00,3.960395424343207509e-03,1.164623969512080214e-02,1.385321802763864012e-02
1.200000000000000000e+01,9.990000000000000000e+02,1.043040124795797940e-01,1.924511958843561743e+01,8.543252411117036038e-02,3.120039584703798052e+00,2.456790676447186517e+00,3.247379860098360638e+01,4.991110580470139307e-02,2.140939521241269006e+01,1.734179171811446807e+01,2.081697537587849922e+00,2.711187252005564119e+01,4.784055615598835631e-01,2.395373814223727749e+00,4.671622845124135531e-02,6.176209783757189431e-01,3.879662689190549463e-01,8.860761945297161712e-03,1.818224467189658369e-02,1.309634696452278979e-01,4.526000205232755778e-03,6.802814234745409305e-02,8.375862996174548991e-02,3.143174668183756210e-02,0.000000000000000000e+00,1.372167425788325845e+00,4.248442297418011382e-01,4.025831733718344907e+00,1.868884228498908895e+00,8.013930601360934602e+00,8.584237698500454261e-01,6.257943259304676431e+00,7.999268730366948521e-02,3.519007677662400746e-01,4.185864440005919729e-01
1.300000000000000000e+01,9.990000000000000000e+02,5.165532046607761857e-02,9.530916367606209860e+00,5.174832362194808910e-02,1.889875311800954361e+00,1.216696335002416030e+00,1.608226216429664390e+01,2.471788096994735617e-02,1.060274810519485555e+01,8.588315898494784051e+00,1.030935923376840035e+00,1.342683210517041204e+01,2.040372032949308023e-01,1.593584360963177682e+00,5.785540749955248724e-02,2.951471688506230873e-01,2.426389701655475850e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.222345469851635891e-01,0.000000000000000000e+00,8.738648621008532347e-02,2.463991744308825782e-01,3.021723765327792924e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.874070446505001541e-01,1.993745239555751558e+00,9.255426655423167892e-01,5.910846190611019679e+00,4.251241526876415322e-01,4.853129638458109518e+00,3.463064662530523224e-02,1.742746659413760280e-01,2.072999532193408045e-01
1.500000000000000000e+01,9.990000000000000000e+02,7.052937986714443233e-03,1.301336657884694104e+00,4.367438909686088139e-03,1.595011083163642984e-01,1.661258457407144840e-01,2.195847333971272519e+00,3.374941440127427351e-03,1.447682914363143780e+00,1.172635439986787542e+00,1.407624049226069707e-01,1.833278998975190976e+00,2.440406341128474946e-02,1.507665063854451981e-01,1.272932837576263828e-03,2.226975343222163672e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.777784655817573017e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.709286363529961545e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.307703184308337541e-01,1.047908156121356293e-02,2.722229077085737692e-01,1.263721716413548080e-01,3.234127749773140215e-01,5.804579777081259745e-02,5.830856409215509628e-02,7.181638707276738649e-03,2.379519477276480222e-02,2.830441668956384244e-02
1.600000000000000000e+01,9.990000000000000000e+02,8.542995307851297682e-03,1.576266937719488448e+00,9.803577137461178675e-03,3.580316636878657088e-01,2.012228554042456985e-01,2.659758742556752154e+00,4.087957237337447140e-03,1.753531417397610426e+00,1.420375321674137048e+00,1.705009411738619696e-01,2.220591463547414435e+00,4.001525449205008134e-02,2.049484946830809895e-01,2.673565646717686317e-02,6.846247343355474357e-02,1.920625093658688207e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.832303385262645454e-02,0.000000000000000000e+00,1.712117676529885044e-02,2.561317646752555785e-02,2.305669483906177056e-03,0.000000000000000000e+00,2.691913380483035041e-03,3.634091746549062557e-02,3.297347896188357885e-01,1.530705177627677549e-01,3.886722089470952546e-01,7.030899448295610532e-02,4.757490674761616134e+00,2.819728539451730760e-03,2.882234859799680249e-02,3.428422303242943669e-02
1.700000000000000000e+01,9.990000000000000000e+02,6.357577903517243334e-02,1.173035860628456639e+01,8.790496006658150840e-02,3.210334213497506362e+00,1.497472412310665746e+00,1.979355343298048453e+01,3.042200734762751449e-02,1.304953612947059050e+01,1.057023495199358010e+01,1.268844213386879805e+00,1.652533182174819970e+01,2.637073454213602064e-01,1.032307972569993959e+00,3.130276054576518890e-02,5.441016176999129428e-01,9.705558806621903400e-01,1.763611895618181769e-01,7.069256728433392922e-01,3.547450761706912314e-01,1.131500051308188814e-01,1.753208500766602340e-01,4.982169215888250791e-01,7.906959821351771181e-03,2.933435207655256116e-01,5.100467457757329459e-03,6.386290090648009121e-01,2.453840294837847935e+00,1.139129434513620476e+00,1.364571158814537277e+01,5.232297263847894842e-01,9.507584543789503684e+00,4.275219484573254680e-02,2.144918965432320301e-01,2.551384039622655586e-01
1.800000000000000000e+01,9.990000000000000000e+02,3.307927252923816702e-02,6.103452212332438620e+00,7.572773151530667879e-02,2.765615583125269783e+00,7.791536145303934457e-01,1.029883327059765818e+01,1.582895069806244254e-02,6.789836767365167169e+00,5.499825373459160005e+00,6.601955047778609309e-01,8.598336713503361040e+00,1.432595770246752886e-01,1.169073609926909230e+00,6.868957069221437450e-02,1.417192649640899305e+00,6.274041972618381591e-01,3.736465880546996354e-02,0.000000000000000000e+00,1.897548082131149949e-01,0.000000000000000000e+00,4.638697491611634693e-02,2.110242307889152347e+00,1.423252767843318986e-02,0.000000000000000000e+00,2.604071996488325769e-01,4.754547390401896445e-01,1.276763778407817629e+00,5.927032838953681937e-01,6.815464532214232207e+00,2.722429670095858345e-01,4.511240977960019549e+00,1.540356561357450298e-02,1.116028149201504088e-01,1.327517008116163300e-01
1.900000000000000000e+01,9.990000000000000000e+02,1.559593329456573918e-02,2.877603595604182996e+00,2.658350122941979116e-02,9.708430951645867779e-01,3.673487011449602102e-01,4.855606076528025561e+00,7.462898677464874057e-03,3.201214331760753762e+00,2.593010761660924590e+00,3.112633460964689958e-01,4.053870462522604967e+00,7.510397809519415990e-02,3.193568974694346863e-01,3.242521889455447781e-02,1.099872975189636476e-01,1.176702974048222883e+00,6.405370080937706698e-03,0.000000000000000000e+00,2.180571399337307981e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.557853290030788873e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.272747790717724259e-01,6.019576973274095577e-01,2.794426894041225351e-01,2.391523897909167751e+00,1.283547922537686958e-01,9.398827272846443037e+00,5.046310298759892725e-03,5.261754337076160470e-02,6.258863972199327219e-02
2.000000000000000000e+01,9.990000000000000000e+02,1.445355601502748555e-02,2.666823714397506873e+00,2.315742089260377709e-02,8.457208845960284549e-01,3.404409937362529726e-01,4.499940663279156539e+00,6.916253232937192783e-03,2.966730479434329659e+00,2.403076852367290517e+00,2.884638016371734448e-01,3.756930906350567589e+00,6.042291604625428525e-02,3.394784072898450744e-01,6.925893362275966844e-03,1.957598849740705693e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.069930065359542826e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.776328377474069686e-02,8.033787456886254397e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.023341811069427010e-01,5.578652545295419429e-01,2.589739573777059545e-01,2.725392604296005050e+00,1.189530081077920104e-01,9.901266251603429325e+00,5.931467801435678401e-03,4.876339210475040542e-02,5.800412152579632191e-02
2.100000000000000000e+01,9.990000000000000000e+02,2.210251693019667577e-02,4.078132484216118847e+00,3.280410493458661009e-02,1.198022731992593348e+00,5.206056433423800200e-01,6.881352560684621977e+00,1.057640099194862883e-02,4.536752795011260275e+00,3.674808245029018039e+00,4.411216210602824650e-01,5.745134891154648038e+00,8.526445540047389304e-02,6.667091798261004509e-01,3.836692776260215015e-02,7.526982164427752087e-02,5.633833608065484666e-02,1.174317848171912981e-01,1.461852471620485594e-01,8.448032684445107299e-02,2.424642967088976031e-01,7.989882490472796292e-03,6.864289611968179550e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316122743700036679e-01,8.530929150022205087e-01,3.960254674676259024e-01,5.217149223993013507e+00,1.819040845634619930e-01,1.731674078572401188e+00,1.071314338290074893e-02,7.456944840760801330e-02,8.870046075250639928e-02
2.200000000000000000e+01,9.990000000000000000e+02,2.319522563236369600e-02,4.279748022761634019e+00,2.052809184171430074e-02,7.496964395110189416e-01,5.463434504289694793e-01,7.221554260313973295e+00,1.109927924323597485e-02,4.761041697236535697e+00,3.856484158266407114e+00,4.629298809778694679e-01,6.029164031840943849e+00,9.542493270575361231e-02,6.296264061434371229e-01,2.308359995553633734e-02,6.097439040175968439e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.944311556373922278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.250439860090751332e-03,1.897670357124425257e-04,0.000000000000000000e+00,6.911133405261180584e-01,2.528318332356169762e-01,8.952682950697460340e-01,4.156042546233287283e-01,1.328263838368366478e+00,1.908970954857005520e-01,2.290992399857915807e+00,1.472829081771874840e-02,7.825602787944481442e-02,9.308565207060782998e-02
2.300000000000000000e+01,9.990000000000000000e+02,6.570179016523499359e-03,1.127069068958292508e+00,6.896821247900471880e-03,2.518754482083969126e-01,4.385403370902835052e-02,2.050256608211924902e+00,3.092204234699999759e-03,9.828915380258520518e-01,8.196980934999498203e-01,1.318408440472304821e-01,7.661933458289933441e-01,3.551437587194555823e-02,1.854480165855389995e-01,1.806507241058710744e-02,4.016335444326435411e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.643858211745982331e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.065688985657948187e-03,5.534871874946240694e-03,0.000000000000000000e+00,1.789413999763196650e-01,2.631285864546482542e-02,1.902898299391709014e-01,1.183626678049309044e-01,7.762627698173433233e-01,5.436683875716954301e-02,1.009735863944592749e-01,1.323173586474113168e-03,2.228704862519520144e-02,2.651047478670415930e-02
2.400000000000000000e+01,9.990000000000000000e+02,2.973870502215900449e-02,5.101470522653324124e+00,2.375643707089570428e-02,8.675972625632391022e-01,1.984972052092862371e-01,9.280108858222398283e+00,1.399629285179999905e-02,4.448877487906488959e+00,3.710212423210299537e+00,5.967532941085169629e-01,3.468033039015443908e+00,1.370442656552314786e-01,8.463022620927731499e-01,1.321328686672613648e-02,1.957598849740705693e-01,3.649187677951507003e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.493939443566803499e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.023655768915654435e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.811182628157560454e-02,1.356906714977653416e-01,8.613118618299315798e-01,5.357468121696872254e-01,2.894850803002066542e+00,2.460814806903463547e-01,7.228433581156941123e-01,2.652734907503618428e-02,1.008782200929888156e-01,1.199947806135030354e-01
2.500000000000000000e+01,9.990000000000000000e+02,3.388829176943699423e-02,5.813303618837508679e+00,4.167827725883321149e-02,1.522112055364370775e+00,2.261944896570936003e-01,1.057500776867203385e+01,1.594926394739999698e-02,5.069651090870183729e+00,4.227916482262899400e+00,6.800211956120308932e-01,3.951944625854807658e+00,1.418092063309813744e-01,8.375172995094432027e-01,9.854045576508907098e-03,1.891470324265113190e-01,1.485283405762718723e-01,1.952570313005844438e-01,2.101867484071245074e-01,1.029989170092174416e-01,1.506511496884617093e-02,8.482972381313404198e-02,2.121579629287308200e-02,1.152518463560234414e-02,0.000000000000000000e+00,6.573935834442780346e-02,3.757595207806221915e-01,9.814949123178289270e-01,6.105021813096435102e-01,5.236618889376263297e+00,2.804184314843481407e-01,4.172244449018264190e-02,3.497740935831224196e-02,1.149542508036384136e-01,1.367382383735267215e-01
2.600000000000000000e+01,9.990000000000000000e+02,4.951957163911479415e-02,9.136849633176337804e+00,9.502093357483266944e-02,3.470213214620736508e+00,1.166390621151354834e+00,1.541732247865745720e+01,2.369589166061299504e-02,1.016436525084545295e+01,8.233222068076250011e+00,9.883106880833744112e-01,1.287168423928355665e+01,2.110880543031330714e-01,1.064183872907056738e+00,3.968866313708230287e-02,5.642319188373360328e-01,6.591585321436617129e+00,1.433735336449889763e-01,0.000000000000000000e+00,4.348224230175674054e-01,0.000000000000000000e+00,4.538253254588548585e-02,3.307621836583385821e+00,7.321844794571740964e-03,0.000000000000000000e+00,6.163064844790106661e-02,4.631811627427609435e-01,1.911311542151042486e+00,8.872750361016248366e-01,7.396670098840128382e+00,4.075469040669025267e-01,2.547688277813426438e+00,2.739425590755370510e-02,1.670690787918768239e-01,1.987288974612334280e-01
2.700000000000000000e+01,9.990000000000000000e+02,2.766539759577426455e-02,5.104538862266019272e+00,4.441900870873429635e-02,1.622204973181087251e+00,6.516344794195632062e-01,8.613288486070414862e+00,1.323832663486603639e-02,5.678587206339938298e+00,4.599703803328456075e+00,5.521454897316344645e-01,7.191101425557615556e+00,1.235416297949179232e-01,7.204509208659569675e-01,4.221012754378288684e-02,4.743749224557954336e-01,2.804112636741684650e-01,4.505110290259520256e-02,0.000000000000000000e+00,1.932274142408120232e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.136871870466903023e-02,3.782689578534687274e-03,0.000000000000000000e+00,8.500779096262216922e-03,3.018301761399727057e-01,1.067803940800532425e+00,4.956992929875677634e-01,9.861746065974905662e+00,2.276866856221310964e-01,5.925699238427575288e+00,1.440890408994913337e-02,9.333748935514081524e-02,1.110250710992046336e-01
