# fipstate,fipscty,['CP_Detergents_Soaps','CP_General_Cleaners','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Industrial','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','OG_Oil_Gas','Misc_All','FL_Fuels_Lighter']
# All emissions reported in kg/year
1.000000000000000000e+00,1.000000000000000000e+00,1.071325302280650430e+04,7.849643473636666022e+04,8.842240801345166983e+04,4.118330935729137309e+03,3.961852929348456382e+04,3.007201145521943181e+04,6.177585240324952792e+03,1.917655229804644478e+04,1.390092793481436092e+04,7.545022861039790769e+03,2.202296834217639571e+03,1.000854290211340958e+04,3.885548655264241233e+02,0.000000000000000000e+00,9.297522709012509949e+02,1.105964981951642358e+03
1.000000000000000000e+00,3.000000000000000000e+00,4.208088574723996862e+04,3.083283382437465480e+05,3.473168458906750311e+05,1.617650709890003600e+04,1.556187276753087644e+05,1.181206936439249694e+05,2.426510959262774486e+04,1.965596610549760517e+05,1.140477573113495746e+05,1.449438602252380806e+05,8.650463240710727405e+03,8.512420509529445553e+04,3.973856579247519676e+03,4.181327341890745970e+02,3.651999910927436304e+03,4.344150739918162799e+03
1.000000000000000000e+00,5.000000000000000000e+00,4.806486491313188708e+03,3.521731936820774717e+04,3.967059386549453484e+04,1.847683609002802086e+03,1.777479962896875077e+04,1.349176730153087919e+04,2.771565269983627331e+03,0.000000000000000000e+00,2.262242358622433312e+04,0.000000000000000000e+00,9.880574985949409665e+02,1.315555896927277900e+04,0.000000000000000000e+00,0.000000000000000000e+00,4.171320999178585112e+02,4.961896946053313968e+02
1.000000000000000000e+00,7.000000000000000000e+00,4.323907526321904697e+03,3.168144392963267092e+04,3.568760251353725471e+04,1.662173206492480631e+03,1.599018119232530262e+04,1.213717219093541098e+04,2.493295664563584523e+03,1.089576835116275333e+03,1.052594302756376055e+04,0.000000000000000000e+00,8.888549384950473495e+02,9.956952474782926856e+02,0.000000000000000000e+00,1.512734987384677652e+03,3.752513669943787704e+02,4.463714521750772519e+02
1.000000000000000000e+00,9.000000000000000000e+00,1.115722567059848552e+04,8.174944013985573838e+04,9.208676005725236610e+04,4.289000506038632921e+03,4.126037825519654143e+04,3.131823895696726322e+04,6.433593277311392740e+03,1.808697546293016785e+04,1.136133533133866149e+04,0.000000000000000000e+00,2.293563189509541644e+03,8.512420509529445553e+03,1.589542631699007700e+02,0.000000000000000000e+00,9.682825451908523746e+02,1.151797764987476057e+03
1.000000000000000000e+00,1.100000000000000000e+01,1.968922177164439063e+03,1.442637178938630677e+04,1.625060471598571530e+04,7.568824422421117788e+02,7.281243221505272231e+03,5.526748051229517841e+03,1.135339990113775229e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.047464452075662393e+02,4.204619827434240506e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.708733903277974946e+02,2.032584291154369964e+02
1.000000000000000000e+00,1.300000000000000000e+01,3.783419085531666951e+03,2.772126343842858842e+04,3.122665219934509878e+04,1.454401555680920637e+03,1.399140854328464047e+04,1.062002566706848484e+04,2.181633706493136742e+03,1.285700665437204771e+04,1.687492453625301277e+04,0.000000000000000000e+00,7.777480711831664166e+02,7.248455039932649015e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.283449461200814312e+02,3.905750206531926096e+02
1.000000000000000000e+00,1.500000000000000000e+01,2.200560080360254869e+04,1.612359199990234047e+05,1.816244056492520904e+05,8.459274354470660910e+03,8.137860071094127488e+04,6.176953704315342475e+04,1.268909400715395714e+04,5.992672593139513629e+04,9.356393802278897783e+04,1.707557805393215676e+04,4.523636740555150936e+03,6.938912475949759937e+03,1.253972520562550699e+03,0.000000000000000000e+00,1.909761421310677633e+03,2.271711854819589462e+03
1.000000000000000000e+00,1.700000000000000000e+01,6.485861289482856591e+03,4.752216589444900455e+04,5.353140377030587842e+04,2.493259809738720833e+03,2.398527178848795302e+04,1.820575828640311374e+04,3.739943496845377013e+03,3.486645872372080703e+03,5.115942468317496969e+04,0.000000000000000000e+00,1.333282407742570967e+03,2.708497434850277841e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.628770504915680704e+02,6.695571782626158210e+02
1.000000000000000000e+00,1.900000000000000000e+01,5.018821235909354073e+03,3.677310456118077855e+04,4.142311006035574246e+04,1.929308186107343772e+03,1.856003174109186875e+04,1.408778915019288797e+04,2.894003896368446476e+03,3.486645872372080703e+03,2.004941529059763752e+03,0.000000000000000000e+00,1.031706625038894344e+03,1.947538631725675805e+04,0.000000000000000000e+00,0.000000000000000000e+00,4.355596224041896676e+02,5.181097212746433343e+02
