# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All emissions reported in kg/year
1.000000000000000000e+00,1.000000000000000000e+00,1.647307268408034133e+03,5.147149202038276417e+04,1.627202076056003932e+02,2.410223080864722306e+03,6.577039409998358678e+03,8.045182142021643813e+04,2.839420856819034498e+02,5.128044149448072130e+04,3.603747651713388768e+04,5.941823904931468860e+03,6.339698885464866908e+04,3.579924224270485411e+03,1.110357055394580493e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.146298935060665281e+04,5.334361524627845938e+03,7.290267396289350472e+03,1.723482389357525790e+03,7.551756324256733933e+03,1.855226660479089844e+02,9.371534047964255478e+02,1.114745255279936828e+03
1.000000000000000000e+00,3.000000000000000000e+00,6.571547779159061974e+03,2.053335012619920599e+05,1.691404606948009587e+03,2.505320318068908819e+04,2.623756329927788465e+04,3.209437598695574561e+05,1.132720663811528766e+03,2.045713497901466617e+05,1.437630995227344392e+05,2.370351933452088269e+04,2.529074868441261642e+05,1.975325777502607525e+04,5.182221590510147507e+04,1.886108839972858050e+03,3.084825870256696362e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.963909302316706544e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.213010917339428488e+03,0.000000000000000000e+00,2.275878926077171855e+04,4.173962424409965024e+03,4.572891994964728656e+04,2.128018998196797111e+04,1.319538398728372413e+05,6.875430640907481575e+03,9.039896953286533244e+04,8.746068542258566367e+02,3.738554727542090859e+03,4.447015955767905325e+03
1.000000000000000000e+00,5.000000000000000000e+00,7.278799558082010890e+02,2.274321740435517495e+04,3.672274073003941339e+02,5.439398007325658000e+03,2.906133692789971974e+03,3.554847923218865617e+04,1.254627820454922045e+02,2.265879973011938637e+04,1.592353613547776149e+04,2.625457074272044338e+03,2.801262298228661894e+04,8.914435815377097470e+02,4.852791235875676648e+03,1.358558595128964726e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.358747219240614868e+03,5.065041806082009316e+03,2.357043464370443871e+03,0.000000000000000000e+00,7.615387301812322676e+02,1.242247004518553695e+04,0.000000000000000000e+00,4.140910393286530962e+02,4.925618569841581689e+02
1.000000000000000000e+00,7.000000000000000000e+00,6.601016603280852451e+02,2.062542792945570545e+04,6.890702669012671322e+01,1.020655692406999947e+03,2.635522053380379930e+03,3.223829695550712495e+04,1.137800128671670308e+02,2.054887101031070051e+04,1.444077770990695717e+04,2.380981314319587000e+03,2.540416011349070322e+04,8.489938871787711605e+01,3.749679910143248890e+03,1.349221422653851505e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.593398237094615979e+03,2.137561684287366006e+03,0.000000000000000000e+00,6.906262168445184670e+02,3.839854323149730590e+03,0.000000000000000000e+00,3.755319546948109632e+02,4.466957731354308976e+02
1.000000000000000000e+00,9.000000000000000000e+00,1.703298034239434401e+03,5.322097028225624672e+04,2.296900889670890251e+02,3.402185641356666565e+03,6.800588155597587502e+03,8.318631982269250148e+04,2.935930689161721148e+02,5.302342608910529088e+04,3.726236391217063647e+04,6.143782141413933459e+03,6.555180600713225431e+04,2.094184921707635567e+03,9.572904242602051454e+03,0.000000000000000000e+00,1.713792150142608989e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.173938762713523332e+01,1.185260795107450031e+04,5.515672560348650222e+03,0.000000000000000000e+00,1.782062291679159216e+03,6.103311746945008053e+03,1.060129520273765564e+02,9.690065616678604101e+02,1.152634628894103116e+03
1.000000000000000000e+00,1.100000000000000000e+01,2.976351236300740766e+02,9.299858128906367710e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.188338068711688948e+03,1.453601782368847853e+04,5.130259508742798857e+01,9.265339160899020499e+03,6.511243520984834504e+03,1.073567467617313696e+03,1.145455433688643097e+04,0.000000000000000000e+00,1.832954419851731245e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.071130455118554437e+03,9.638112951474283818e+02,0.000000000000000000e+00,3.113984281307872948e+02,1.830129297008734284e+03,0.000000000000000000e+00,1.693246760007852743e+02,2.014119334226719502e+02
1.000000000000000000e+00,1.300000000000000000e+01,5.716951879627166591e+02,1.786309383176074334e+04,1.574622417135826993e+02,2.332341722809570001e+03,2.282550349802650089e+03,2.792066789896598857e+04,9.854161828674286028e+01,1.779679007142980117e+04,1.250674498090156158e+04,2.062099888294641914e+03,2.200181724114819372e+04,6.791951097430169284e+02,9.501912003697490945e+03,2.082189461950234545e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.978210973198015381e+03,1.851281101570308010e+03,0.000000000000000000e+00,5.981316342314132726e+02,1.125896347017377957e+04,0.000000000000000000e+00,3.252374964767558936e+02,3.868704463762213663e+02
1.000000000000000000e+00,1.500000000000000000e+01,3.359445949884005131e+03,1.049686957124085020e+05,1.879861173919802013e+03,2.784463501413955964e+04,1.341292473595371666e+04,1.640699041485630150e+05,5.790589940561178537e+02,1.045790756774741021e+05,7.349324370220504352e+04,1.211749418894789596e+04,1.292890291490151576e+05,9.522881434521883421e+03,2.139633420158085210e+04,2.591065361843901883e+03,2.856320250237681648e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.426208942161905782e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.128574042648455361e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.445681108052713626e+03,2.337711602807081363e+04,1.087866214324820066e+04,0.000000000000000000e+00,3.514794139297995116e+03,5.181508463006298371e+03,6.095744741574152386e+02,1.911189412286091283e+03,2.273362416849960482e+03
1.000000000000000000e+00,1.700000000000000000e+01,9.813118432555909294e+02,3.066190848441405979e+04,3.871523306806717528e+02,5.734527364166236111e+03,3.917985909712796001e+03,4.792568252760656469e+04,1.691461798427081078e+02,3.054809842157795720e+04,2.146776329195989820e+04,3.539583828876885491e+03,3.776600588300180243e+04,1.245191034528864520e+03,7.207229503154374470e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.172111157176016786e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.828578629252264363e+03,3.177714468159343141e+03,0.000000000000000000e+00,1.026689867005467022e+03,3.064385704708956837e+03,0.000000000000000000e+00,5.582684862204108640e+02,6.640611270272254387e+02
1.000000000000000000e+00,1.900000000000000000e+01,7.720831919908853251e+02,2.412438445320265964e+04,4.759842807510760565e+01,7.050312413413814738e+02,3.082619544578837122e+03,3.770729376045922254e+04,1.330819793357042897e+02,2.403484019955983604e+04,1.689055249998046202e+04,2.784897787284516198e+03,2.971379441845787369e+04,4.244969435893855803e+02,3.880853215624571931e+03,1.073774834638013260e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.372635438030309160e+03,2.500183755728972756e+03,0.000000000000000000e+00,8.077860214877848648e+02,1.945853973817915175e+04,0.000000000000000000e+00,4.392382684376806310e+02,5.224745203637629629e+02
