# fipstate,fipscty,['CP_House_Detergents_Soaps','CP_House_General_Cleaners','CP_Industrial_Detergents_Soaps','CP_Industrial_General_Cleaners','CP_Auto_Aftermarket','PCP_Daily_Use_Products','PCP_Short_Use_Products','AS_Adhesives_Sealants','COAT_Architectural','COAT_Aerosol','COAT_Allied','COAT_Auto_Refinishing','COAT_Traffic_Markings','COAT_Factory_Finished_Wood','COAT_Wood_Furniture','COAT_Metal_Furniture','COAT_Paper','COAT_Metal_Cans','COAT_Machinery_Equipment','COAT_Large_Appliances','COAT_Electronics','COAT_Motor_Vehicles','COAT_Aircraft','COAT_Railroad','COAT_Marine','COAT_Misc_Manufacturing','COAT_Industrial_Maintenance','COAT_Other_Special_Purpose','PI_Printing_Inks','PEST_FIFRA','PEST_Agricultural','DC_Dry_Cleaning','MISC_All','FL_Fuels_Lighter']
# All emissions reported in Gg/year
1.000000000000000000e+00,9.990000000000000000e+02,7.012930873514999774e-02,4.517191962993424958e+00,2.206148064940422621e-02,9.598853433055547502e-01,3.917297524007865572e-01,9.075083868827793054e+00,1.253764790210100052e-02,3.732227438577459200e+00,2.441918807285301085e+00,7.649113586776197238e-01,5.364676277725823006e+00,1.079859381748519004e-01,1.077274851748059259e+00,7.048469316091836301e-02,4.221644257566721792e-01,3.665106882425753221e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.877502026499068333e-02,0.000000000000000000e+00,6.961095951042800545e-02,9.674806544585767831e-01,1.637704190332532617e-02,0.000000000000000000e+00,8.003324393593164165e-01,2.802558377143984925e-01,1.185259406370226865e+00,7.390441004426120397e-01,1.561575276285178893e+00,1.530312228780023043e-01,1.077825565054608914e+00,3.681098939756325544e-02,8.401865145105602561e-02,9.789622290760480183e-02
2.000000000000000000e+00,9.990000000000000000e+02,1.047645999880199991e-02,6.748131667165687686e-01,1.503503024787668230e-03,6.541675692779144735e-02,5.851962831783178581e-02,1.355706406526927310e+00,1.872971074354679716e-03,5.575490785793265625e-01,3.647927687618041648e-01,1.142683907249015529e-01,8.014169459786331107e-01,1.400539526287455754e-02,6.321967448993050243e-02,1.688114548399829128e-03,1.157248974113684725e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.389852699982368924e-04,7.093921271584792626e-04,0.000000000000000000e+00,1.044266587543246638e-02,5.442162849536144945e-03,1.770632419312256900e-01,1.104041390865289907e-01,1.049798505065666354e-01,2.286099084626483022e-02,4.950456072244911222e-03,1.559670716882133063e-03,1.255135772697408419e-02,1.462449697313606203e-02
4.000000000000000000e+00,9.990000000000000000e+02,1.041921158350799931e-01,6.711256630733088535e+00,2.237834597839124043e-02,9.736720147411612736e-01,5.819984892811685961e-01,1.348298174797271898e+01,1.862736259740719810e-02,5.545023623029368132e+00,3.627993656538161638e+00,1.136439732892463361e+00,7.970376184049794865e+00,1.758071311745784127e-01,9.200289238774789213e-01,2.598845254343266561e-02,5.413610700903818129e-01,1.649298097091589088e-01,3.840126527668814849e-02,1.258601381637913519e-01,7.519177928604016403e-02,6.039131731398252045e-02,1.607131254625748518e-01,1.265597708404948840e-01,8.102325994276740606e-02,0.000000000000000000e+00,1.403233227011237670e-02,3.139661493080966870e-01,1.760956832321479482e+00,1.098008377800452351e+00,2.584035278614759790e+00,2.273606739901748441e-01,5.407919485697103568e-01,3.696281575053408930e-02,1.248277107272832420e-01,1.454458168912985405e-01
5.000000000000000000e+00,9.990000000000000000e+02,4.322255354696999397e-02,2.784065250661253987e+00,1.184698745317317413e-02,5.154572260739366252e-01,2.414334392347704805e-01,5.593214955889782125e+00,7.727285033539798946e-03,2.300270788674270594e+00,1.505019346530940716e+00,4.714351639196758259e-01,3.306392318108568595e+00,6.811795501193795843e-02,4.477731408936902469e-01,4.115784041812917127e-02,5.311772791181812448e-02,2.443404588283835596e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.202074166106043701e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.110546643969675146e-02,1.467221243644446435e-02,1.100267230115128253e-01,6.771416153600740007e-02,1.029968191866497823e-01,7.305068178036906446e-01,4.554924863952425351e-01,1.939211127412967306e+00,9.431720267174835415e-02,3.924295887286470386e+00,1.042080877208858766e-02,5.178292395554881522e-02,6.033603942468703657e-02
6.000000000000000000e+00,9.990000000000000000e+02,5.653281010282499297e-01,3.641409847719189230e+01,1.288122364098374384e-01,5.604563888215368550e+00,3.157821473434911930e+00,7.315628833034649858e+01,1.010687943128549954e-01,3.008632322934890624e+01,1.968485569138150737e+01,6.166122177095097356e+00,4.324585978983061807e+01,8.033569134752086560e-01,5.618667729779958542e+00,1.059918420234794711e-01,2.726247133217018614e+00,2.577791840639446441e+00,1.379167393168861111e-01,1.352327016440736829e+00,6.303596257237006339e-01,1.302812689737073149e-01,4.864204932087841105e-01,1.711851488997370829e+00,2.343511217493544352e-01,0.000000000000000000e+00,1.418081392552868136e+00,2.610434479518645823e+00,9.554642153392642001e+00,5.957600401527179734e+00,2.039561658122890009e+01,1.233619041567569630e+00,1.435823977004244512e+01,1.990995583276528036e-01,6.772932106768801974e-01,7.891634295613039196e-01
8.000000000000000000e+00,9.990000000000000000e+02,8.243771802335998766e-02,5.310005246294312364e+00,1.603328359671758047e-02,6.976011344898641608e-01,4.604823211894960022e-01,1.066785369070369072e+01,1.473813304410239756e-02,4.387271438001258517e+00,2.870500475502721027e+00,8.991611073434875312e-01,6.306231706061375952e+00,1.371084789254528591e-01,7.305552484877320119e-01,1.822407134322952954e-02,2.360787907191916613e-01,4.581383603032191526e-02,0.000000000000000000e+00,6.694688200201668327e-01,1.199916717349083922e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.064508674077861011e-01,2.204073711209060538e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.317272941332490510e-01,1.393284526671939805e+00,8.687538813366214585e-01,2.399591513488639638e+00,1.798897640361822869e-01,2.439232630507714994e+00,2.474769553424481516e-02,9.876478211389443096e-02,1.150780089689395075e-01
9.000000000000000000e+00,9.990000000000000000e+02,5.109421064989499994e-02,3.291097001609495809e+00,1.878496048264540960e-02,8.173253884640017120e-01,2.854031053205730584e-01,6.611846818717392438e+00,9.134572042959299837e-03,2.719194276677863176e+00,1.779112273879290829e+00,5.572925613222657892e-01,3.908549859485957345e+00,8.824904972090849564e-02,4.848460013999892348e-01,4.823184423999512041e-03,1.553028123260564997e-01,3.054255735354794495e-03,3.406941523023247764e-02,0.000000000000000000e+00,1.293343628737427253e-01,0.000000000000000000e+00,1.676485347126912828e-01,1.074750899934928255e-01,1.283542077816745564e-01,0.000000000000000000e+00,1.901381022600227233e+00,2.138925490234834526e-01,8.635461389268794807e-01,5.384464160367602448e-01,2.403601160556598781e+00,1.114941766682588237e-01,2.506991541079548608e-02,2.923347414474652961e-02,6.121358891434081767e-02,7.132439097554063578e-02
1.000000000000000000e+01,9.990000000000000000e+02,1.393998912408899934e-02,8.979071371337952190e-01,2.789435395340128954e-03,1.213671101516494433e-01,7.786628139558492145e-02,1.803904426171075492e+00,2.492177358499259726e-03,7.418754133009072271e-01,4.853936567950781766e-01,1.520456455820411446e-01,1.066366264184684054e+00,2.770959922977331638e-02,1.713993269115270390e-01,9.173507629959856647e-04,6.712044049859371316e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.688091146575178385e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.594697217123714816e-03,1.563713828682669789e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.965377629336329146e-02,2.356005432254287268e-01,1.469038681287967718e-01,1.425247275974567962e-01,3.041885940472943695e-02,2.009901792813741372e-01,3.933682781516884171e-03,1.670085030884256583e-02,1.945937165551164458e-02
1.100000000000000000e+01,1.000000000000000000e+00,1.010434529939100053e-02,6.508443930353793316e-01,4.000360997195180060e-04,1.740539517796392197e-02,5.644106228468476205e-02,1.307552900284167929e+00,1.806444779363940070e-03,5.377454227827931366e-01,3.518356485598821970e-01,1.102096773931427742e-01,7.729513167498840431e-01,7.264025373533925922e-04,6.066619140243346975e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.088432569907229065e-04,1.707741103872204291e-01,1.064826805943845239e-01,9.112834245361689511e-02,2.204898843915707035e-02,0.000000000000000000e+00,5.231107979631225563e-03,1.210554447437664494e-02,1.410504762709571293e-02
1.200000000000000000e+01,9.990000000000000000e+02,3.077102322052500116e-01,1.982033208252217094e+01,5.438368315656320895e-02,2.366210192622221431e+00,1.718814219717736735e+00,3.981924554689745577e+01,5.501212855003499019e-02,1.637609998559497271e+01,1.071454170543550255e+01,3.356243716646698960e+00,2.353888570838881833e+01,5.515432729043850957e-01,2.761297895665233426e+00,5.985477297939786195e-02,7.421437670991060109e-01,5.344947536870889859e-01,1.346385825249737239e-02,2.856400298752711717e-02,2.175927774573694629e-01,3.199539990144769069e-03,1.147339308043954648e-01,1.648315547930696845e-01,4.141171890691811019e-02,0.000000000000000000e+00,1.687632705462469129e+00,7.388280284530269748e-01,5.200628007542831277e+00,3.242744522350236913e+00,7.974458991431105481e+00,6.714635289544998997e-01,5.230225355360747841e+00,1.185073696915928537e-01,3.686532665709600920e-01,4.295446515333679049e-01
