# Chemical Name,Emissions [kg/yr]
Acetone,52519.00447005149
Ethanol,39431.15880763107
Propane,15139.825365347122
Isopropyl Alcohol,12945.271389368892
Toluene,10857.800398354599
n-Butane,8854.760711889783
Xylenes,8255.826412897617
Methanol,7155.575799775327
Ethylene Glycol,7081.940865301777
Isobutane,6923.042529620104
Propylene Glycol,6062.588764740739
Fragrance B,5843.9829430557975
Glycerol,5817.6674836202665
"2,2,4-Trimethyl-1,3-Pentanediol Isobutyrate (Texanol)",5694.752636321671
Methylene Chloride (Dichloromethane),5290.945051934892
"Hydrocarbon Propellant (LPG, Sweetened)",4981.93681320217
Decamethylcyclopentasiloxane,4299.030079270261
"1,1-Difluoroethane (HFC-152a)",3378.150112434053
Dimethyl Ether,3338.6403630478544
n-Undecane,3273.4612869710754
Branched C12 Alkanes,3208.481402614791
C11 Cycloalkanes,2590.048512372293
Ethylene Glycol Monobutyl Ether,2374.2106743651134
Methyl Ethyl Ketone (2-Butanone),2351.680430362487
Dimethylpolysiloxane,2275.8881694098386
n-Dodecane,2255.2409549495246
C12 Cycloalkanes,2179.892413900142
n-Tetradecane,1836.732594799137
n-Heptane,1791.4693826899343
Alkyl (C16-C18) Methyl Esters,1606.6445886543067
C13 Branched Alkanes,1530.7979166813661
Ethyl Benzene,1475.2623825469648
Methylcyclohexane,1327.4372118544404
Terpene,1226.9031538160425
n-Decane,1152.4107097702333
N-Butyl Acetate,1112.492803897347
Branched C11 alkanes,1103.6768204537293
"Alkanes, C14-16",1045.9914089956328
Ethyl Cyanoacrylate,1034.9793970912556
Diethylene Glycol Monobutyl Ether,1018.1670526794255
Propylene Glycol Monomethyl Ether Acetate,997.7076667133913
Methyl Acetate,950.459439725897
Fragrance A,936.661156670352
Parachlorobenzotrifluoride,921.2218089280025
Ethanolamine,889.3037177915236
n-Octane,785.0228419560829
Cyclotetrasiloxane,782.81063986908
"1,1,1,2-Tetrafluoroethane (HFC-134a)",715.9120175240807
Ethyl Acetate,657.3787949176296
Styrene,647.6087683169296
Diethylene Glycol Monoethyl Ether,640.9614759300872
Witch Hazel,628.0944522603584
Voc Ingredients < 0.1%,624.6096358739544
C10 Cycloalkanes,533.4309072847323
2-Amino-2-Methyl-1-Propanol,519.0746231577535
"1,2,4-Trimethylbenzene",467.9579254651462
"Other, Misc. VOC Compounds Aggregated In Profile",454.3761527783706
Methyl Isobutyl Ketone (Hexone),446.67484151438686
Ethyl-3-Ethoxypropionate,445.5739196400549
Propylene Glycol Butyl Ether (1-Butoxy-2-Propanol),439.7365460398158
Branched C6 Alkanes,424.24034318627844
n-Hexane,420.31493299606876
n-Nonane,400.71244539789524
Dl-Limonene (Dipentene),398.46752051992945
n-Tridecane,382.8039970377393
Benzyl Alcohol,380.63437338648555
C13 Cycloalkanes,370.4706733705073
Hexane,351.5802442108893
Formic Acid,349.3058821455495
Phenoxyethanol,344.8520976603045
Isobutyl Acetate,337.3951009721519
Glycol Ether Dpnb (1-(2-Butoxy-1-Methylethoxy)-2-Propanol),335.57152463239856
N-Methylpyrrolidinone,318.06014956043276
"cis-1,3-dimethylcyclohexane",311.217169571858
Dipropylene Glycol Monomethyl Ether,311.07178521771806
C14-Alkane,306.8400253548066
2-Methylheptane,300.61800284503045
C6 Cycloalkanes,298.03549421916364
"2,2,4,6,6-Pentamethylheptane",295.47328403657133
Branched C9 Alkanes,292.2238430672544
Soybean Oil,282.31676847491184
n-Butyl Alcohol,267.0418088763658
Ethylene Glycol Monohexyl Ether,261.7469810881373
Cyclohexane,254.39041313140382
Citronella Oil,232.6348273540658
C8 Cycloalkanes,230.29874462616166
Diisobutyl Ketone,218.68542996425816
Octamethylcyclotetrasiloxane,212.536379584998
n-Pentane,206.2776912092698
Branched C7 Alkanes,201.82044625367288
C14 Cycloalkanes,198.97796293991277
"2,6-dimethylnonane",198.23381508016837
"1,3,5-trimethylbenzene",198.23165287133196
3-methylheptane,196.19403000430154
"1,2,4-trimethylcyclopentane",194.42551486542453
o-Xylene,193.6110605992983
2-methylhexane,192.94946028662764
"trans,trans-1,2,4-trimethylcyclohexane",189.95533492952956
"1,2-dimethylcyclopentane",187.82543735869032
C9 Cycloalkanes,176.92066937849273
Branched C8 Alkanes,170.17863317723825
m-Ethyltoluene,166.34629130612703
2-Methylpentane,156.19767208487218
Lactic Acid,156.058057848309
Cyclopentane,147.4362677475184
m-Xylene,145.15488750888332
Diethylene Glycol,137.1089770114609
Methyl Amyl Ketone,136.63210314938465
"Pentanedioic Acid, Dimethyl Ester",129.80702351732992
Methyl Ethyl Ketoxime,127.41325407968901
Cyclomethicone (A VMS),117.8403428840525
m-Xylene,113.97191265138235
"1,2,3-trimethylbenzene",113.93182710485317
1-Ethyl-2-Propyl Cyclohexane,113.2330202655044
n-Heptane,112.73974739224963
C11 Trialkyl Benzenes,112.42320550861663
Ethylcyclohexane,109.91115769747694
Dodecamethylcyclohexasiloxane,108.72486342061926
Diethylene Glycol Monomethyl Ether,107.4727864571923
4-methylnonane,107.32689366286107
Dipropylene Glycol Methyl Ether Acetate,105.48096335138038
"trans-1,4-dimethylcyclohexane",104.10870315630719
"trans-1,3-dimethylcyclohexane",103.37266889616136
2-methyldecane,103.2726564051952
trans 1-methyl-3-propyl cyclohexane,102.90714784111435
Citrus Terpenes,102.47632077186856
3-methyldecane,100.98221176445874
"2,6-dimethylheptane",100.69912344992075
Methyl Propyl Ketone (2-Pentanone),98.5609483270684
"cis-1,cis-3,5-trimethylcyclohexane",98.11261567197054
"trans,cis-1,2,4-trimethylcyclohexane",97.37887370391704
"1,1,3-trimethylcyclohexane",97.31908130078264
"1,1,3-trimethylcyclopentane",97.01012755905762
4-methyldecane,96.92969391708682
"trans,trans-1,3,5-trimethylcyclohexane",95.90312190334488
5-methyldecane,95.90312190334488
Butylcyclohexane,95.03439413900998
4-methylheptane,94.94203550757965
"N,N-Diethyl-M-Toluamide",94.34432316431199
Propylene Glycol N-Propyl Ether,94.25168232623913
Acetic Acid,91.95650231890171
Isoparaffins,91.85957999328755
C10 Trialkylbenzenes,91.25180822963182
Dipropylene Glycol Monopropyl Ether,89.2963172834713
